SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
100,100,1.0,1.0,1.0,3.0,1.0,USA,7.0
101,101,1.0,1.0,1.0,3.0,1.0,USA,7.0
102,102,1.0,1.0,1.0,3.0,1.0,USA,7.0
103,103,1.0,1.0,1.0,3.0,1.0,USA,7.0
104,104,1.0,1.0,1.0,3.0,1.0,USA,7.0
105,105,1.0,1.0,1.0,3.0,1.0,USA,7.0
106,106,1.0,1.0,1.0,3.0,1.0,USA,7.0
107,107,1.0,1.0,1.0,3.0,1.0,USA,7.0
108,108,1.0,1.0,1.0,3.0,1.0,USA,7.0
109,109,1.0,1.0,1.0,3.0,1.0,USA,7.0
110,110,1.0,1.0,1.0,3.0,1.0,USA,7.0
111,111,1.0,1.0,1.0,3.0,1.0,USA,7.0
112,112,1.0,1.0,1.0,3.0,1.0,USA,7.0
113,113,1.0,1.0,1.0,3.0,1.0,USA,7.0
114,114,1.0,1.0,1.0,3.0,1.0,USA,7.0
115,115,1.0,1.0,1.0,3.0,1.0,USA,7.0
116,116,1.0,1.0,1.0,3.0,1.0,USA,7.0
117,117,1.0,1.0,1.0,3.0,1.0,USA,7.0
118,118,1.0,1.0,1.0,3.0,1.0,USA,7.0
119,119,1.0,1.0,1.0,3.0,1.0,USA,7.0
120,120,1.0,1.0,1.0,3.0,1.0,USA,7.0
121,121,1.0,1.0,1.0,3.0,1.0,USA,7.0
122,122,1.0,1.0,1.0,3.0,1.0,USA,7.0
123,123,1.0,1.0,1.0,3.0,1.0,USA,7.0
124,124,1.0,1.0,1.0,3.0,1.0,USA,7.0
125,125,1.0,1.0,1.0,3.0,1.0,USA,7.0
126,126,1.0,1.0,1.0,3.0,1.0,USA,7.0
127,127,1.0,1.0,1.0,3.0,1.0,USA,7.0
128,128,1.0,1.0,1.0,3.0,1.0,USA,7.0
129,129,1.0,1.0,1.0,3.0,1.0,USA,7.0
130,130,1.0,1.0,1.0,3.0,1.0,USA,7.0
131,131,1.0,1.0,1.0,3.0,1.0,USA,7.0
132,132,1.0,1.0,1.0,3.0,1.0,USA,7.0
133,133,1.0,1.0,1.0,3.0,1.0,USA,7.0
134,134,1.0,1.0,1.0,3.0,1.0,USA,7.0
135,135,1.0,1.0,1.0,3.0,1.0,USA,7.0
