SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,Unnamed: 15,CONCAT_ADDRESS
15104,CDM,PPD,SHP647-305,1-XE26TS,,United_States,UMass Memorial Medical Center,Massachusetts,Worcester,01655,,46.0,55 Lake Avenue North
15114,CDM,PPD,SHP620-302,022,,United_States,UMass Memorial Medical Center,Massachussets,Worcester,01655,,56.0,"55 Lake Ave., NorthS7-715"
15119,CDM,PPD,MLN0002-3024,1-DKKUSHI,,United_States,UMass Memorial Medical Center,Massachusetts,Worcester,01655-0002,,61.0,55 Lake Ave N
15120,CDM,PPD,SHP647-301,1-203PCDF,,United_States,"Greater Boston Gastroenterology, P.C.",Massachusetts,Framingham,01702,,62.0,475 Franklin StreetSuite 110
15129,CDM,PPD,SHP647-305,1-1444GKV,,United_States,"Bedford VA Research Corporation, Inc. - NAVREF - PPDS",Maryland,Bedford,01730,,71.0,200 Springs Road
15132,CDM,PPD,SHP647-302,1-15MO4TK,,United_States,Edith Nourse Rogers Memorial Veterans Hospital - NAVREF - PPDS,Massachusetts,Bedford,01730,,74.0,200 Springs Road
15136,CDM,PPD,SHP647-305,1-ZGYDYW,,United_States,Emerson Hospital,Massachusetts,Concord,01742,,78.0,131 Old Road To 9 Acre CorSuite 530
15138,CDM,PPD,SHP647-301,1-1119K7O,,United_States,Community Clinical Research Networks,Massachusetts,Marlborough,01752,,80.0,79 Mosher Lane
15140,CDM,PPD,SHP621-301,1-HI0JKA,,United_States,Lahey Clinic,Massachusetts,Burlington,01805,,82.0,41 Mall RoadTransplantation
15142,CDM,PPD,C16014,58103,,United_States,Lahey Clinic,Massachussets,Burlington,01805,,84.0,"41 Mall Road, Lahey ClinicHematology"
15143,CDM,PPD,TAK-788-2001,1-74VZMQW,,United_States,Lahey Hospital and Medical Center,Massachusetts,Burlington,01805,,85.0,41 Burlington Mall Road
15145,CDM,PPD,SHP647-305,1-YJYSX0,,United_States,Lahey Outpatient Center,Massachusetts,Burlington,01805,,87.0,41 Mall Road3rd Floor
15149,CDM,PPD,SHP647-304,1-24D0UHW,,United_States,Pentucket Medical Associates,Massachusetts,Haverhill,01830,,91.0,1 Park WayGastroenterology / Merrimack Valley Endoscopy Center
15154,CDM,PPD,SHP607-202,1-15NMR6W,,United_States,Beverly Hospital,Massachusetts,Beverly,01915,,96.0,85 Herrick Street
15155,CDM,PPD,TAK-788-2001,1-74VZMR9,,United_States,North Shore Cancer Center,Massachusetts,Peabody,01960,,97.0,17 Centennial Drive
15156,CDM,PPD,SHP647-301,1-ZGYX0E,,United_States,Sw Gastroenterological Associates,Massachusetts,Norwood,02062,,98.0,886 Washington StreetSuite 1
15158,CDM,PPD,SHP647-301,1-XFVQYJ,,United_States,BlueTheory Clinical Trials,Massachusetts,Boston,02110,,100.0,137A Lewis Wharf
15160,CDM,PPD,SHP621-301,1-HK0J1A,,United_States,Floating Hospital for Children,Massachusetts,Boston,02111,,102.0,800 Washington Street
15162,CDM,PRA,C34005,58012,1-1CZ7Z10,United_States,Tufts Medical Center,MA,Boston,02111,,104.0,800 Washington StreetMailbox 245
15163,CDM,ICON,C16007,,62201,United_States,Tufts Medical Center,Massachusetts,Boston,02111,,105.0,800 Washington StreetProger Building
15165,CDM,PPD,Pevonedistat-2001,1-D901XE,,United_States,Tufts Medical Center - PPDS,Massachusetts,Boston,02111,,107.0,750 Washington St.
15167,CDM,PPD,Pevonedistat-2001,1-JHTBKE,,United_States,Tufts Medical Center - PPDS,Massachusetts,Boston,02111,,109.0,"800 Washington StreetSouth Building, 8th Floor"
15175,CDM,PPD,SHP607-202,1-15MUJQO,,United_States,Tufts University - Boston - PPDS,Massachusetts,Boston,02111,,117.0,136 Harrison Avenue
15176,CDM,PPD,SHP607-202,1-15MUJR1,,United_States,Floating Hospital for Children,Massachusetts,Boston,02111-1552,,118.0,800 Washington StreetTufts-New England Medical Center
15177,CDM,IQVIA,TED-R13-002,0528,1-15SKCZG,United_States,Massachusetts General Hospital,Boston,Massachusetts,02114,,119.0,"165 Cambridge St., 9th Floor"
15061,CDM,PRA,Zik-101,44002,1-1GIN0K8,United_States,Ponce Medical School Foundation,PR,Ponce,00716,,3.0,280 Monterrey Street
15062,CDM,PPD,C16029,1-1AUNVZP,,United_States,"Ponce Medical School Foundation, Inc.",Puerto Rico,Ponce,00716,,4.0,280 Monterrey StreetCaimed Center
15063,CDM,PPD,C16029,1-1AUNVZ0,,United_States,Fundacion de Investigacion de Diego (FDI Clinical Research),Puerto Rico,Humacao,00792,,5.0,355 Calle Font MarteloRyder Memorial Hospital & Nursing Home (RMHC)
15064,CDM,IQVIA,SHP643-403,102,1-4AJMNO1,United_States,Rafael H Zaragoza-Urdaz,San Juan,Puerto Rico,00918,,6.0,317 Ave Manuel Domenech
15065,CDM,PPD,C16029,1-1AUNVXY,,United_States,Hospital Auxilio Mutuo Cancer Center,Puerto Rico,San Juan,00919,,7.0,"Avenida Ponce De Leon #725, Edificio Nino Jesus, Pda 371/2 Piso 4Internal Medicine"
15066,CDM,PPD,C16029,1-1AUNVYB,,United_States,San Juan VA Medical Center - NAVREF - PPDS,Puerto Rico,San Juan,00921,,8.0,10 Casia Street
15067,CDM,PPD,C16029,1-1AUNVXL,,United_States,San Juan Community Oncology Group,Puerto Rico,San Juan,00922-1965,,9.0,735 Ponce de León
15068,CDM,PRA,Zik-101,44001,1-1GIN07M,United_States,Puerto Rico Clinical and Translational Research Consortium,PR,San Juan,00936,,10.0,1st Floor University HospitalPO Box 365067
15069,CDM,PPD,C16029,1-1AUNVZD,,United_States,PR Hematology Oncology Group,Puerto Rico,Bayamon,00961,,11.0,100 Paseo San PabloSuite 510
15070,CDM,PPD,SHP647-304,1-24D0UH7,,United_States,Hampshire Gastroenterology Associates,Massachusetts,Florence,01062,,12.0,10 Main Street
15078,CDM,PPD,SHP607-202,1-15MY454,,United_States,Bay State Medical Associates,Massachusetts,Springfield,01199,,20.0,759 Chestnut Street
