SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
15059,15160.0,0.0,1.0,1.0,3.0,0.0,United_States,5.0
15060,15059.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15061,15061.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15062,15062.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15063,15063.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15064,15064.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15065,15065.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15066,15066.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15067,15067.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15068,15068.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15069,15069.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15070,15070.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15071,15070.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15072,15070.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15073,15070.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15074,15070.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15075,15070.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15076,15070.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15077,15070.0,0.0,1.0,0.0,3.0,0.0,United_States,4.0
15078,15078.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15079,15079.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15080,15079.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15081,15079.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15082,15079.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15083,15079.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15084,15079.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15085,15079.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15086,15078.0,0.0,1.0,1.0,3.0,1.0,United_States,6.0
15087,15089.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15088,15087.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15089,15089.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15090,15089.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15091,15089.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15092,15089.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15093,15089.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15094,15094.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15095,15094.0,0.0,0.0,1.0,3.0,1.0,United_States,5.0
15096,15096.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15097,15097.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15098,15098.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15099,15099.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15100,15100.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15101,15100.0,0.0,0.0,1.0,3.0,1.0,United_States,5.0
15102,15102.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15103,15102.0,1.0,0.0,1.0,3.0,1.0,United_States,6.0
15104,15104.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15105,15104.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15106,15104.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15107,15104.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15108,15104.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15109,15104.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15110,15104.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15111,15104.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15112,15097.0,1.0,1.0,1.0,0.0,1.0,United_States,4.0
15113,15097.0,1.0,1.0,1.0,0.0,1.0,United_States,4.0
15114,15114.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15115,15114.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15116,15104.0,1.0,0.0,1.0,3.0,1.0,United_States,6.0
15117,15098.0,0.0,1.0,1.0,3.0,1.0,United_States,6.0
15118,15119.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15119,15119.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15120,15120.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15121,15120.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15122,15120.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15123,15120.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15124,15120.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15125,15120.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15126,15120.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15127,15120.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15128,15120.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15129,15129.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15130,15129.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15131,15129.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15132,15132.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15133,15132.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15134,15132.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15135,15132.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15136,15136.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15137,15136.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15138,15138.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15139,15138.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15140,15140.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15141,15140.0,1.0,1.0,1.0,0.0,1.0,United_States,4.0
15142,15142.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15143,15143.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15144,15143.0,1.0,1.0,1.0,0.0,1.0,United_States,4.0
15145,15145.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15146,15145.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15147,15149.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15148,15147.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15149,15149.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15150,15149.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15151,15149.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15152,15149.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15153,15149.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15154,15154.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15155,15155.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15156,15156.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15157,15156.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15158,15158.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15159,15158.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15160,15160.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15161,15160.0,1.0,1.0,1.0,0.0,1.0,United_States,4.0
15162,15162.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15163,15163.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15164,15163.0,1.0,1.0,1.0,0.0,1.0,United_States,4.0
15165,15165.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15166,15165.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15167,15167.0,1.0,1.0,1.0,3.0,1.0,United_States,7.0
