SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
15059,15059,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15061,15061,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15062,15062,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15063,15063,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15064,15064,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15065,15065,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15066,15066,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15067,15067,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15068,15068,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15069,15069,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15070,15070,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15078,15078,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15079,15079,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15087,15087,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15094,15094,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15096,15096,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15099,15099,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15100,15100,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15102,15102,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15114,15114,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15118,15118,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15120,15120,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15129,15129,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15132,15132,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15136,15136,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15138,15138,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15140,15140,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15142,15142,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15143,15143,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15145,15145,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15147,15147,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15154,15154,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15155,15155,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15158,15158,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15162,15162,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15163,15163,1.0,1.0,1.0,3.0,1.0,United_States,7.0
15175,15175,1.0,1.0,1.0,3.0,1.0,United_States,7.0
