"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
1059,1006,1,1,0,0,3,5
1062,1006,1,1,0,0,3,5
1064,1006,1,1,0,0,3,5
1065,1006,1,1,0,0,3,5
1067,1006,1,1,0,0,3,5
1249,1006,1,1,0,0,3,5
1110,1007,0,0,1,0,3,4
1011,1010,1,1,1,1,3,7
1185,1010,1,0,0,0,3,4
1186,1010,1,0,0,0,3,4
1187,1010,1,0,0,0,3,4
1188,1010,1,0,0,0,3,4
1190,1010,1,0,0,0,3,4
1191,1010,1,0,0,0,3,4
1192,1010,1,0,0,0,3,4
1193,1010,1,0,0,0,3,4
1185,1011,1,0,0,0,3,4
1186,1011,1,0,0,0,3,4
1187,1011,1,0,0,0,3,4
1188,1011,1,0,0,0,3,4
1190,1011,1,0,0,0,3,4
1191,1011,1,0,0,0,3,4
1192,1011,1,0,0,0,3,4
1193,1011,1,0,0,0,3,4
1013,1012,1,1,1,1,3,7
1015,1014,1,1,1,1,3,7
1016,1014,1,1,1,1,0,4
1017,1014,1,1,1,1,3,7
1018,1014,1,1,1,1,3,7
1019,1014,1,1,1,1,3,7
1016,1015,1,1,1,1,0,4
1017,1015,1,1,1,1,3,7
1018,1015,1,1,1,1,3,7
1019,1015,1,1,1,1,3,7
1017,1016,1,1,1,1,0,4
1018,1016,1,1,1,1,0,4
1019,1016,1,1,1,1,0,4
1018,1017,1,1,1,1,3,7
1019,1017,1,1,1,1,3,7
1019,1018,1,1,1,1,3,7
1022,1021,1,1,1,1,3,7
1025,1024,1,1,1,1,3,7
1026,1024,1,1,1,1,3,7
1027,1024,1,1,1,1,3,7
1028,1024,1,1,1,1,3,7
1029,1024,1,1,1,1,3,7
1030,1024,1,1,1,1,3,7
1078,1024,0,1,1,0,3,5
1026,1025,1,1,1,1,3,7
1027,1025,1,1,1,1,3,7
1028,1025,1,1,1,1,3,7
1029,1025,1,1,1,1,3,7
1030,1025,1,1,1,1,3,7
1078,1025,0,1,1,0,3,5
1027,1026,1,1,1,1,3,7
1028,1026,1,1,1,1,3,7
1029,1026,1,1,1,1,3,7
1030,1026,1,1,1,1,3,7
1078,1026,0,1,1,0,3,5
1028,1027,1,1,1,1,3,7
1029,1027,1,1,1,1,3,7
1030,1027,1,1,1,1,3,7
1078,1027,0,1,1,0,3,5
1029,1028,1,1,1,1,3,7
1030,1028,1,1,1,1,3,7
1078,1028,0,1,1,0,3,5
1030,1029,1,1,1,1,3,7
1078,1029,0,1,1,0,3,5
1078,1030,0,1,1,0,3,5
1033,1032,1,1,1,1,0,4
1086,1034,1,1,1,0,3,6
1037,1036,1,1,1,1,3,7
1041,1040,1,1,1,1,3,7
1043,1042,1,1,1,1,3,7
1048,1047,1,1,1,1,3,7
1050,1049,1,1,1,1,3,7
1051,1049,1,1,1,1,3,7
1051,1050,1,1,1,1,3,7
1053,1052,1,1,1,1,3,7
1054,1052,1,1,1,1,3,7
1055,1052,1,1,1,1,3,7
1054,1053,1,1,1,1,3,7
1055,1053,1,1,1,1,3,7
1055,1054,1,1,1,1,3,7
1062,1059,1,1,1,1,3,7
1063,1059,1,1,1,1,0,4
1064,1059,1,1,1,0,3,6
1065,1059,1,1,1,0,3,6
1067,1059,1,1,1,0,3,6
1061,1060,1,1,1,1,3,7
1063,1062,1,1,1,1,0,4
1064,1062,1,1,1,0,3,6
1065,1062,1,1,1,0,3,6
1067,1062,1,1,1,0,3,6
1065,1064,1,1,1,1,3,7
1067,1064,1,1,1,1,3,7
1067,1065,1,1,1,1,3,7
1070,1069,1,1,1,1,3,7
1071,1069,1,1,1,1,3,7
1072,1069,1,1,1,1,3,7
1073,1069,1,1,1,1,3,7
1074,1069,1,1,1,1,3,7
1075,1069,1,1,1,1,3,7
1071,1070,1,1,1,1,3,7
1072,1070,1,1,1,1,3,7
1073,1070,1,1,1,1,3,7
1074,1070,1,1,1,1,3,7
1075,1070,1,1,1,1,3,7
1072,1071,1,1,1,1,3,7
1073,1071,1,1,1,1,3,7
1074,1071,1,1,1,1,3,7
1075,1071,1,1,1,1,3,7
1073,1072,1,1,1,1,3,7
1074,1072,1,1,1,1,3,7
1075,1072,1,1,1,1,3,7
1074,1073,1,1,1,1,3,7
1075,1073,1,1,1,1,3,7
1075,1074,1,1,1,1,3,7
1079,1078,0,0,0,1,3,4
1080,1078,0,0,0,1,3,4
1080,1079,1,1,1,1,3,7
1082,1081,1,1,1,1,3,7
1084,1083,1,1,1,1,0,4
1086,1083,1,1,1,1,0,4
1086,1084,1,1,1,1,0,4
1091,1090,1,1,1,1,3,7
1094,1093,0,1,1,1,3,6
1104,1096,1,0,0,1,3,5
1105,1096,1,0,0,1,3,5
1106,1096,1,0,0,1,3,5
1107,1096,1,0,0,1,3,5
1108,1096,0,0,1,1,3,5
1098,1097,1,1,1,1,3,7
1099,1097,1,1,1,1,3,7
1100,1097,1,1,1,1,3,7
1101,1097,1,1,1,1,3,7
1102,1097,1,1,1,1,3,7
1103,1097,1,1,1,1,3,7
1099,1098,1,1,1,1,3,7
1100,1098,1,1,1,1,3,7
1101,1098,1,1,1,1,3,7
1102,1098,1,1,1,1,3,7
1103,1098,1,1,1,1,3,7
1100,1099,1,1,1,1,3,7
1101,1099,1,1,1,1,3,7
1102,1099,1,1,1,1,3,7
1103,1099,1,1,1,1,3,7
1101,1100,1,1,1,1,3,7
1102,1100,1,1,1,1,3,7
1103,1100,1,1,1,1,3,7
1102,1101,1,1,1,1,3,7
1103,1101,1,1,1,1,3,7
1103,1102,1,1,1,1,3,7
1105,1104,1,1,1,1,3,7
1106,1104,1,1,1,1,3,7
1107,1104,1,1,1,1,3,7
1108,1104,0,0,0,1,3,4
1174,1104,0,1,1,0,3,5
1106,1105,1,1,1,1,3,7
1107,1105,1,1,1,1,3,7
1108,1105,0,0,0,1,3,4
1174,1105,0,1,1,0,3,5
1107,1106,1,1,1,1,3,7
1108,1106,0,0,0,1,3,4
1174,1106,0,1,1,0,3,5
1108,1107,0,0,0,1,3,4
1174,1107,0,1,1,0,3,5
1112,1111,1,1,1,1,3,7
1114,1113,1,1,1,1,3,7
1115,1113,1,1,1,1,3,7
1116,1113,1,1,1,1,3,7
1117,1113,1,1,1,1,3,7
1115,1114,1,1,1,1,3,7
1116,1114,1,1,1,1,3,7
1117,1114,1,1,1,1,3,7
1116,1115,1,1,1,1,3,7
1117,1115,1,1,1,1,3,7
1117,1116,1,1,1,1,3,7
1119,1118,1,1,1,1,3,7
1120,1118,1,1,1,1,3,7
1121,1118,1,1,1,1,3,7
1122,1118,1,1,1,1,3,7
1123,1118,1,1,1,1,3,7
1124,1118,1,1,1,1,3,7
1120,1119,1,1,1,1,3,7
1121,1119,1,1,1,1,3,7
1122,1119,1,1,1,1,3,7
1123,1119,1,1,1,1,3,7
1124,1119,1,1,1,1,3,7
1121,1120,1,1,1,1,3,7
1122,1120,1,1,1,1,3,7
1123,1120,1,1,1,1,3,7
1124,1120,1,1,1,1,3,7
1122,1121,1,1,1,1,3,7
1123,1121,1,1,1,1,3,7
1124,1121,1,1,1,1,3,7
1123,1122,1,1,1,1,3,7
1124,1122,1,1,1,1,3,7
1124,1123,1,1,1,1,3,7
1126,1125,1,1,1,1,3,7
1127,1125,1,1,1,1,3,7
1128,1125,1,1,1,1,3,7
1129,1125,1,1,1,1,3,7
1130,1125,1,1,1,1,3,7
1131,1125,1,1,1,1,3,7
1132,1125,1,1,1,1,3,7
1127,1126,1,1,1,1,3,7
1128,1126,1,1,1,1,3,7
1129,1126,1,1,1,1,3,7
1130,1126,1,1,1,1,3,7
1131,1126,1,1,1,1,3,7
1132,1126,1,1,1,1,3,7
1128,1127,1,1,1,1,3,7
1129,1127,1,1,1,1,3,7
1130,1127,1,1,1,1,3,7
1131,1127,1,1,1,1,3,7
1132,1127,1,1,1,1,3,7
1129,1128,1,1,1,1,3,7
1130,1128,1,1,1,1,3,7
1131,1128,1,1,1,1,3,7
1132,1128,1,1,1,1,3,7
1130,1129,1,1,1,1,3,7
1131,1129,1,1,1,1,3,7
1132,1129,1,1,1,1,3,7
1131,1130,1,1,1,1,3,7
1132,1130,1,1,1,1,3,7
1132,1131,1,1,1,1,3,7
1135,1134,1,1,1,1,3,7
1137,1136,1,1,1,1,3,7
1144,1143,0,1,1,1,3,6
1145,1143,0,1,1,1,3,6
1146,1143,0,1,1,1,3,6
1147,1143,0,1,1,1,3,6
1148,1143,0,1,1,1,3,6
1149,1143,0,1,1,1,3,6
1150,1143,0,1,1,1,3,6
1151,1143,0,1,1,1,3,6
1145,1144,1,1,1,1,3,7
1146,1144,1,1,1,1,3,7
1147,1144,1,1,1,1,3,7
1148,1144,1,1,1,1,3,7
1149,1144,1,1,1,1,3,7
1150,1144,1,1,1,1,3,7
1151,1144,1,1,1,1,3,7
1146,1145,1,1,1,1,3,7
1147,1145,1,1,1,1,3,7
1148,1145,1,1,1,1,3,7
1149,1145,1,1,1,1,3,7
1150,1145,1,1,1,1,3,7
1151,1145,1,1,1,1,3,7
1147,1146,1,1,1,1,3,7
