"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
1317,1316,1,1,1,1,3,7
1318,1316,1,0,1,1,3,6
1318,1317,1,0,1,1,3,6
1320,1319,0,0,1,1,3,5
1321,1319,0,0,1,1,3,5
1321,1320,1,1,1,1,3,7
1323,1322,1,1,1,1,0,4
1324,1322,1,1,1,1,3,7
1325,1322,1,1,1,1,3,7
1326,1322,1,1,1,1,0,4
1327,1322,1,1,1,1,0,4
1324,1323,1,1,1,1,0,4
1325,1323,1,1,1,1,0,4
1326,1323,1,1,1,1,0,4
1327,1323,1,1,1,1,0,4
1325,1324,1,1,1,1,3,7
1326,1324,1,1,1,1,0,4
1327,1324,1,1,1,1,0,4
1326,1325,1,1,1,1,0,4
1327,1325,1,1,1,1,0,4
1327,1326,1,1,1,1,0,4
1330,1329,1,1,1,1,3,7
1331,1329,1,1,1,1,3,7
1332,1329,1,1,1,1,3,7
1333,1329,1,1,1,1,3,7
1334,1329,1,1,1,1,3,7
1335,1329,1,1,1,1,3,7
1336,1329,1,1,1,1,0,4
1337,1329,1,1,1,1,0,4
1338,1329,1,1,1,1,0,4
1331,1330,1,1,1,1,3,7
1332,1330,1,1,1,1,3,7
1333,1330,1,1,1,1,3,7
1334,1330,1,1,1,1,3,7
1335,1330,1,1,1,1,3,7
1336,1330,1,1,1,1,0,4
1337,1330,1,1,1,1,0,4
1338,1330,1,1,1,1,0,4
1332,1331,1,1,1,1,3,7
1333,1331,1,1,1,1,3,7
1334,1331,1,1,1,1,3,7
1335,1331,1,1,1,1,3,7
1336,1331,1,1,1,1,0,4
1337,1331,1,1,1,1,0,4
1338,1331,1,1,1,1,0,4
1333,1332,1,1,1,1,3,7
1334,1332,1,1,1,1,3,7
1335,1332,1,1,1,1,3,7
1336,1332,1,1,1,1,0,4
1337,1332,1,1,1,1,0,4
1338,1332,1,1,1,1,0,4
1334,1333,1,1,1,1,3,7
1335,1333,1,1,1,1,3,7
1336,1333,1,1,1,1,0,4
1337,1333,1,1,1,1,0,4
1338,1333,1,1,1,1,0,4
1335,1334,1,1,1,1,3,7
1336,1334,1,1,1,1,0,4
1337,1334,1,1,1,1,0,4
1338,1334,1,1,1,1,0,4
1336,1335,1,1,1,1,0,4
