"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
1893,1892,1,1,1,1,3,7
1894,1892,1,1,1,1,3,7
1895,1892,1,1,1,1,3,7
1896,1892,1,1,1,1,3,7
1897,1892,1,1,1,1,0,4
1898,1892,1,1,1,1,3,7
1899,1892,1,1,1,1,3,7
1900,1892,1,1,1,1,3,7
1901,1892,1,1,1,1,3,7
1902,1892,1,1,1,1,3,7
1903,1892,1,1,1,1,3,7
1904,1892,1,1,1,1,3,7
1894,1893,1,1,1,1,3,7
1895,1893,1,1,1,1,3,7
1896,1893,1,1,1,1,3,7
1897,1893,1,1,1,1,0,4
1898,1893,1,1,1,1,3,7
1899,1893,1,1,1,1,3,7
1900,1893,1,1,1,1,3,7
1901,1893,1,1,1,1,3,7
1902,1893,1,1,1,1,3,7
1903,1893,1,1,1,1,3,7
1904,1893,1,1,1,1,3,7
1895,1894,1,1,1,1,3,7
1896,1894,1,1,1,1,3,7
1897,1894,1,1,1,1,0,4
1898,1894,1,1,1,1,3,7
1899,1894,1,1,1,1,3,7
1900,1894,1,1,1,1,3,7
1901,1894,1,1,1,1,3,7
1902,1894,1,1,1,1,3,7
1903,1894,1,1,1,1,3,7
1904,1894,1,1,1,1,3,7
1896,1895,1,1,1,1,3,7
1897,1895,1,1,1,1,0,4
1898,1895,1,1,1,1,3,7
1899,1895,1,1,1,1,3,7
1900,1895,1,1,1,1,3,7
1901,1895,1,1,1,1,3,7
1902,1895,1,1,1,1,3,7
1903,1895,1,1,1,1,3,7
1904,1895,1,1,1,1,3,7
1897,1896,1,1,1,1,0,4
1898,1896,1,1,1,1,3,7
1899,1896,1,1,1,1,3,7
1900,1896,1,1,1,1,3,7
1901,1896,1,1,1,1,3,7
1902,1896,1,1,1,1,3,7
1903,1896,1,1,1,1,3,7
1904,1896,1,1,1,1,3,7
1898,1897,1,1,1,1,0,4
1899,1897,1,1,1,1,0,4
1900,1897,1,1,1,1,0,4
1901,1897,1,1,1,1,0,4
1902,1897,1,1,1,1,0,4
1903,1897,1,1,1,1,0,4
1904,1897,1,1,1,1,0,4
1899,1898,1,1,1,1,3,7
1900,1898,1,1,1,1,3,7
1901,1898,1,1,1,1,3,7
1902,1898,1,1,1,1,3,7
1903,1898,1,1,1,1,3,7
1904,1898,1,1,1,1,3,7
1900,1899,1,1,1,1,3,7
1901,1899,1,1,1,1,3,7
1902,1899,1,1,1,1,3,7
1903,1899,1,1,1,1,3,7
1904,1899,1,1,1,1,3,7
1901,1900,1,1,1,1,3,7
1902,1900,1,1,1,1,3,7
1903,1900,1,1,1,1,3,7
1904,1900,1,1,1,1,3,7
1902,1901,1,1,1,1,3,7
1903,1901,1,1,1,1,3,7
1904,1901,1,1,1,1,3,7
1903,1902,1,1,1,1,3,7
1904,1902,1,1,1,1,3,7
1904,1903,1,1,1,1,3,7
1906,1905,1,1,1,1,3,7
1907,1905,1,1,1,1,3,7
1908,1905,1,1,1,1,3,7
1909,1905,1,1,1,1,3,7
1910,1905,1,1,1,1,3,7
1911,1905,1,1,1,1,3,7
1907,1906,1,1,1,1,3,7
1908,1906,1,1,1,1,3,7
1909,1906,1,1,1,1,3,7
1910,1906,1,1,1,1,3,7
1911,1906,1,1,1,1,3,7
1908,1907,1,1,1,1,3,7
1909,1907,1,1,1,1,3,7
1910,1907,1,1,1,1,3,7
1911,1907,1,1,1,1,3,7
1909,1908,1,1,1,1,3,7
1910,1908,1,1,1,1,3,7
1911,1908,1,1,1,1,3,7
1910,1909,1,1,1,1,3,7
1911,1909,1,1,1,1,3,7
1911,1910,1,1,1,1,3,7
1917,1913,0,1,1,1,3,6
1919,1913,0,1,1,1,3,6
1923,1913,0,1,1,1,3,6
1925,1913,0,1,1,1,3,6
1926,1913,0,1,1,1,3,6
1927,1913,0,1,1,1,3,6
1932,1913,0,1,1,1,3,6
1934,1913,0,0,1,1,3,5
2119,1913,0,0,1,0,3,4
1916,1915,1,1,1,1,0,4
1917,1915,1,1,1,1,0,4
1918,1915,1,1,1,1,0,4
1919,1915,1,1,1,1,0,4
1920,1915,1,1,1,1,0,4
1917,1916,1,1,1,1,0,4
1918,1916,1,1,1,1,0,4
1919,1916,1,1,1,1,0,4
1920,1916,1,1,1,1,0,4
1924,1916,0,1,1,1,3,6
1931,1916,0,1,1,1,3,6
1918,1917,1,1,1,1,0,4
1919,1917,1,1,1,1,3,7
1920,1917,1,1,1,1,0,4
1923,1917,0,1,1,1,3,6
1925,1917,0,1,1,1,3,6
1926,1917,0,1,1,1,3,6
1927,1917,0,1,1,1,3,6
1932,1917,0,1,1,1,3,6
1934,1917,0,0,1,1,3,5
2119,1917,1,0,1,0,3,5
1919,1918,1,1,1,1,0,4
1920,1918,1,1,1,1,0,4
1920,1919,1,1,1,1,0,4
1923,1919,0,1,1,1,3,6
1925,1919,0,1,1,1,3,6
1926,1919,0,1,1,1,3,6
1927,1919,0,1,1,1,3,6
1932,1919,0,1,1,1,3,6
1934,1919,0,0,1,1,3,5
2119,1919,1,0,1,0,3,5
1924,1923,1,1,1,1,0,4
1925,1923,0,1,1,1,3,6
1926,1923,0,1,1,1,3,6
1927,1923,0,1,1,1,3,6
1932,1923,0,1,1,1,3,6
1934,1923,0,0,1,1,3,5
2119,1923,0,0,1,0,3,4
1931,1924,0,1,1,1,3,6
1926,1925,1,1,1,1,3,7
1927,1925,1,1,1,1,3,7
1928,1925,1,1,1,1,0,4
1929,1925,1,1,1,1,0,4
1930,1925,1,1,1,1,0,4
1931,1925,1,1,1,1,0,4
1932,1925,1,1,1,1,3,7
1934,1925,0,0,1,1,3,5
2119,1925,0,0,1,0,3,4
1927,1926,1,1,1,1,3,7
1928,1926,1,1,1,1,0,4
1929,1926,1,1,1,1,0,4
1930,1926,1,1,1,1,0,4
1931,1926,1,1,1,1,0,4
1932,1926,1,1,1,1,3,7
1934,1926,0,0,1,1,3,5
2119,1926,0,0,1,0,3,4
1928,1927,1,1,1,1,0,4
1929,1927,1,1,1,1,0,4
1930,1927,1,1,1,1,0,4
1931,1927,1,1,1,1,0,4
1932,1927,1,1,1,1,3,7
1934,1927,0,0,1,1,3,5
2119,1927,0,0,1,0,3,4
1929,1928,1,1,1,1,0,4
1930,1928,1,1,1,1,0,4
1931,1928,1,1,1,1,0,4
1932,1928,1,1,1,1,0,4
1930,1929,1,1,1,1,0,4
1931,1929,1,1,1,1,0,4
1932,1929,1,1,1,1,0,4
1931,1930,1,1,1,1,0,4
1932,1930,1,1,1,1,0,4
1932,1931,1,1,1,1,0,4
1934,1932,0,0,1,1,3,5
2119,1932,0,0,1,0,3,4
1938,1937,1,1,1,1,3,7
1939,1937,1,1,1,1,3,7
1940,1937,1,1,1,1,3,7
1941,1937,1,1,1,1,3,7
1942,1937,1,1,1,1,0,4
1943,1937,1,1,1,1,3,7
1944,1937,1,1,1,1,0,4
1945,1937,1,1,1,1,3,7
