"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
3075,30427,1,1,1,1,3,7
3095,30447,1,1,1,1,3,7
3099,30451,1,1,1,1,3,7
3102,30454,1,1,1,1,3,7
3103,30455,1,1,1,1,3,7
3105,30457,1,1,1,1,3,7
3106,30458,1,1,1,1,3,7
3106,30460,0,1,1,1,3,6
3108,30458,0,1,1,1,3,6
3108,30460,1,1,1,1,3,7
3112,30464,1,1,1,1,3,7
3115,30467,1,1,1,1,3,7
2621,29973,1,1,1,1,3,7
2622,29974,1,1,1,1,3,7
2629,29981,1,1,1,1,3,7
2632,29984,1,1,1,1,3,7
2637,29989,1,1,1,1,3,7
2638,29990,1,1,1,1,3,7
2639,29991,1,1,1,1,3,7
2641,29993,1,1,1,1,3,7
2642,29994,1,1,1,1,3,7
2645,29997,1,1,1,1,3,7
2645,29998,1,1,1,1,0,4
2646,29997,1,1,1,1,0,4
2646,29998,1,1,1,1,3,7
2649,30001,1,1,1,1,3,7
2657,30009,1,1,1,1,3,7
2658,30010,1,1,1,1,3,7
2659,30011,1,1,1,1,3,7
2672,30024,1,1,1,1,3,7
2674,30026,1,1,1,1,3,7
2675,30027,1,1,1,1,3,7
2676,30028,1,1,1,1,3,7
2677,30029,1,1,1,1,3,7
2679,30031,1,1,1,1,3,7
2681,30033,1,1,1,1,3,7
2682,30034,1,1,1,1,3,7
2686,30038,1,1,1,1,3,7
2688,30040,1,1,1,1,3,7
2689,30041,1,1,1,1,3,7
2690,30042,1,1,1,1,3,7
2694,30046,1,1,1,1,3,7
2696,30048,1,1,1,1,3,7
2698,30050,1,1,1,1,3,7
2700,30052,1,1,1,1,3,7
2701,30298,1,1,1,1,0,4
2701,30053,1,1,1,1,3,7
2703,30055,1,1,1,1,3,7
2705,30057,1,1,1,1,3,7
2707,30059,1,1,1,1,3,7
2721,30073,1,1,1,1,3,7
2725,30077,1,1,1,1,3,7
2726,30078,1,1,1,1,3,7
2733,30085,1,1,1,1,3,7
2734,30086,1,1,1,1,3,7
2734,30098,0,1,1,1,3,6
2735,30087,1,1,1,1,3,7
2735,30089,0,1,1,1,3,6
2735,30100,0,1,1,1,3,6
2737,30087,0,1,1,1,3,6
2737,30089,1,1,1,1,3,7
2737,30098,0,1,1,1,3,6
2737,30100,0,1,1,1,3,6
2741,30093,1,1,1,1,3,7
2743,30095,1,1,1,1,3,7
2743,30098,1,1,1,1,0,4
2746,30086,0,1,1,1,3,6
2746,30089,0,1,1,1,3,6
2746,30095,1,1,1,1,0,4
2746,30098,1,1,1,1,3,7
2748,30087,0,1,1,1,3,6
2748,30089,0,1,1,1,3,6
2748,30100,1,1,1,1,3,7
2752,30104,1,1,1,1,3,7
2755,30107,1,1,1,1,3,7
2756,30108,1,1,1,1,3,7
2757,30109,1,1,1,1,3,7
2758,30110,1,1,1,1,3,7
2760,30112,1,1,1,1,3,7
2767,30119,1,1,1,1,3,7
2768,30120,1,1,1,1,3,7
2769,30121,1,1,1,1,3,7
2771,30123,1,1,1,1,3,7
2772,30124,1,1,1,1,3,7
2773,30125,1,1,1,1,3,7
2774,30126,1,1,1,1,3,7
2775,30127,1,1,1,1,3,7
2777,30129,1,1,1,1,3,7
2778,30130,1,1,1,1,3,7
2782,30134,1,1,1,1,3,7
2784,30136,1,1,1,1,3,7
2785,30137,1,1,1,1,3,7
2786,30138,1,1,1,1,3,7
2787,30139,1,1,1,1,3,7
2788,30140,1,1,1,1,3,7
2789,30141,1,1,1,1,3,7
2795,30147,1,1,1,1,3,7
2797,30149,1,1,1,1,3,7
2798,30150,1,1,1,1,3,7
2799,30151,1,1,1,1,3,7
2800,30152,1,1,1,1,3,7
2803,30155,1,1,1,1,3,7
2810,30162,1,1,1,1,3,7
2811,30163,1,1,1,1,3,7
2818,30170,1,1,1,1,3,7
2821,30173,1,1,1,1,3,7
2822,30174,1,1,1,1,3,7
2824,30176,1,1,1,1,3,7
2825,30177,1,1,1,1,3,7
2825,30178,0,1,0,1,3,5
2826,30177,0,1,0,1,3,5
2826,30178,1,1,1,1,3,7
2832,30184,1,1,1,1,3,7
2834,30186,1,1,1,1,3,7
2835,30187,1,1,1,1,3,7
2837,30189,1,1,1,1,3,7
2839,30191,1,1,1,1,3,7
2841,30193,1,1,1,1,3,7
2843,30195,1,1,1,1,3,7
2847,30199,1,1,1,1,3,7
2848,30200,1,1,1,1,3,7
2852,30204,1,1,1,1,3,7
2854,30206,1,1,1,1,3,7
2855,30207,1,1,1,1,3,7
2857,30209,1,1,1,1,3,7
2859,30211,1,1,1,1,3,7
2859,30215,0,1,1,1,3,6
2861,30213,1,1,1,1,3,7
2863,30211,0,1,1,1,3,6
2863,30215,1,1,1,1,3,7
2863,30217,1,1,1,1,0,4
2865,30215,1,1,1,1,0,4
2865,30217,1,1,1,1,3,7
2867,30219,1,1,1,1,3,7
2868,30220,1,1,1,1,3,7
2874,30226,1,1,1,1,3,7
2876,30228,1,1,1,1,3,7
2880,30232,1,1,1,1,3,7
2881,30233,1,1,1,1,3,7
2883,30235,1,1,1,1,3,7
2884,30236,1,1,1,1,3,7
2885,30237,1,1,1,1,3,7
2892,30244,1,1,1,1,3,7
2893,30245,1,1,1,1,3,7
2895,30247,1,1,1,1,3,7
2899,30251,1,1,1,1,3,7
2900,30252,1,1,1,1,3,7
2905,30257,1,1,1,1,3,7
2906,30258,1,1,1,1,3,7
2909,30261,1,1,1,1,3,7
2912,30264,1,1,1,1,3,7
2916,30268,1,1,1,1,3,7
2917,30269,1,1,1,1,3,7
2918,30270,1,1,1,1,3,7
2919,30271,1,1,1,1,3,7
2921,30273,1,1,1,1,3,7
2925,30277,1,1,1,1,3,7
2927,30279,1,1,1,1,3,7
2928,30280,1,1,1,1,3,7
2929,30281,1,1,1,1,3,7
2930,30282,1,1,1,1,3,7
2931,30283,1,1,1,1,3,7
2932,30284,1,1,1,1,3,7
2932,30286,1,1,1,1,0,4
2932,30290,1,1,1,1,0,4
2934,30284,1,1,1,1,0,4
2934,30286,1,1,1,1,3,7
2934,30290,1,1,1,1,0,4
2938,30284,1,1,1,1,0,4
2938,30286,1,1,1,1,0,4
2938,30290,1,1,1,1,3,7
2942,30294,1,1,1,1,3,7
2943,30295,1,1,1,1,3,7
2944,30296,1,1,1,1,3,7
2945,30297,1,1,1,1,3,7
2946,30298,1,1,1,1,3,7
2946,30053,1,1,1,1,0,4
2949,30301,1,1,1,1,3,7
2950,30302,1,1,1,1,3,7
2951,30303,1,1,1,1,3,7
2952,30304,1,1,1,1,3,7
2955,30307,1,1,1,1,3,7
2956,30308,1,1,1,1,3,7
2957,30309,1,1,1,1,3,7
2958,30310,1,1,1,1,3,7
2959,30311,1,1,1,1,3,7
2963,30315,1,1,1,1,3,7
2964,30316,1,1,1,1,3,7
2965,30317,1,1,1,1,3,7
2965,30318,0,1,1,1,3,6
2966,30317,0,1,1,1,3,6
2966,30318,1,1,1,1,3,7
2973,30325,1,1,1,1,3,7
2974,30326,1,1,1,1,3,7
2975,30327,1,1,1,1,3,7
2976,30328,1,1,1,1,3,7
2981,30333,1,1,1,1,3,7
2982,30334,1,1,1,1,3,7
2983,30335,1,1,1,1,3,7
2984,30336,1,1,1,1,3,7
2985,30337,1,1,1,1,3,7
2987,30339,1,1,1,1,3,7
2989,30341,1,1,1,1,3,7
2996,30348,1,1,1,1,3,7
2997,30349,1,1,1,1,3,7
3002,30354,1,1,1,1,3,7
3003,30355,1,1,1,1,3,7
3005,30357,1,1,1,1,3,7
3006,30358,1,1,1,1,3,7
3007,30359,1,1,1,1,3,7
3008,30360,1,1,1,1,3,7
3015,30367,1,1,1,1,3,7
3016,30368,1,1,1,1,3,7
3021,30373,1,1,1,1,3,7
3023,30375,1,1,1,1,3,7
3025,30377,1,1,1,1,3,7
3026,30378,1,1,1,1,3,7
3034,30386,1,1,1,1,3,7
3035,30387,1,1,1,1,3,7
3036,30388,1,1,1,1,3,7
3037,30389,1,1,1,1,3,7
3044,30396,1,1,1,1,3,7
3052,30404,1,1,1,1,3,7
3053,30405,1,1,1,1,3,7
3054,30406,1,1,1,1,3,7
3060,30412,1,1,1,1,3,7
3062,30414,1,1,1,1,3,7
3063,30415,1,1,1,1,3,7
3064,30416,1,1,1,1,3,7
3067,30419,1,1,1,1,3,7
3069,30421,1,1,1,1,3,7
3069,30423,1,1,1,1,0,4
3071,30421,1,1,1,1,0,4
3071,30423,1,1,1,1,3,7
