"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
78,77,0,1,1,0,3,5
727,77,1,1,1,1,3,7
727,78,0,1,1,0,3,5
334,92,0,1,1,0,3,5
506,92,0,1,1,0,3,5
767,92,0,1,1,0,3,5
2408,92,0,1,1,0,3,5
2662,92,0,1,1,0,3,5
2701,92,1,1,1,1,0,4
9684,92,0,1,1,0,3,5
9699,92,0,1,1,0,3,5
10018,92,0,1,1,0,3,5
11411,92,0,1,1,0,3,5
12814,92,0,1,1,0,3,5
21094,92,1,1,1,0,3,6
21834,92,0,1,1,0,3,5
23693,92,0,1,1,0,3,5
25804,92,0,1,1,0,3,5
30078,92,0,1,1,0,3,5
30088,92,0,1,1,0,3,5
31529,92,0,1,1,0,3,5
424,118,1,1,1,1,0,4
1405,118,0,1,1,1,3,6
1406,118,1,0,0,0,3,4
13077,118,1,1,1,1,0,4
13349,118,1,1,1,1,0,4
14213,118,0,1,1,1,3,6
16688,118,1,1,1,1,0,4
19133,118,0,1,1,1,3,6
21103,118,1,1,1,1,3,7
22295,118,1,1,1,1,3,7
23692,118,0,1,1,1,3,6
25803,118,1,1,1,1,3,7
27412,118,0,1,1,1,3,6
842,182,0,1,1,1,3,6
34162,183,0,0,1,1,3,5
506,334,0,1,1,1,3,6
767,334,0,1,1,1,3,6
2408,334,1,1,1,1,3,7
2662,334,1,1,1,1,3,7
9699,334,0,1,1,1,3,6
11411,334,0,1,1,1,3,6
12814,334,0,1,1,1,3,6
21094,334,0,1,1,1,3,6
21553,334,0,1,1,1,3,6
21834,334,0,1,1,1,3,6
23693,334,0,1,1,1,3,6
30088,334,0,1,1,1,3,6
31529,334,0,1,1,1,3,6
507,336,1,1,1,1,3,7
9090,336,1,1,1,1,3,7
9334,336,1,1,1,1,3,7
10557,336,1,1,1,1,3,7
11485,336,1,1,1,1,3,7
12812,336,1,1,1,1,0,4
13032,336,1,1,1,1,0,4
16099,336,1,1,1,1,3,7
29635,336,0,1,1,0,3,5
30033,336,1,1,1,1,0,4
30147,336,1,1,1,1,0,4
32003,336,1,1,1,1,0,4
33028,336,0,1,1,0,3,5
34133,336,1,1,1,1,0,4
34568,336,1,1,1,1,0,4
2703,337,0,0,1,1,3,5
510,340,0,1,1,1,3,6
354,341,1,1,1,1,0,4
33923,341,1,1,1,1,0,4
354,342,0,1,1,1,3,6
355,342,0,1,1,1,3,6
843,342,0,1,1,1,3,6
2175,342,0,1,1,1,3,6
2664,342,0,1,1,0,3,5
2913,342,0,1,1,1,3,6
