"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
8052,7861,1,1,1,0,3,6
8056,7861,1,1,1,0,3,6
8057,7861,1,1,1,0,3,6
8058,7861,1,1,1,0,3,6
7864,7863,1,1,1,1,3,7
7865,7863,1,1,1,1,3,7
7866,7863,1,1,1,1,3,7
7867,7863,1,1,1,1,3,7
7868,7863,1,1,1,1,3,7
7869,7863,1,1,1,1,3,7
7865,7864,1,1,1,1,3,7
7866,7864,1,1,1,1,3,7
7867,7864,1,1,1,1,3,7
7868,7864,1,1,1,1,3,7
7869,7864,1,1,1,1,3,7
7866,7865,1,1,1,1,3,7
7867,7865,1,1,1,1,3,7
7868,7865,1,1,1,1,3,7
7869,7865,1,1,1,1,3,7
7867,7866,1,1,1,1,3,7
7868,7866,1,1,1,1,3,7
7869,7866,1,1,1,1,3,7
7868,7867,1,1,1,1,3,7
7869,7867,1,1,1,1,3,7
7869,7868,1,1,1,1,3,7
7871,7870,1,1,1,1,3,7
7873,7870,0,0,1,1,3,5
7873,7871,0,0,1,1,3,5
7879,7872,0,0,1,1,3,5
7881,7872,0,0,1,1,3,5
7891,7872,0,0,0,1,3,4
7875,7874,1,1,1,1,0,4
7876,7874,1,1,1,1,0,4
7877,7874,1,1,1,1,0,4
7878,7874,1,1,1,1,0,4
7879,7874,1,1,1,1,0,4
7880,7874,1,1,1,1,0,4
7881,7874,1,1,1,1,0,4
7882,7874,1,1,1,1,0,4
7883,7874,1,1,1,1,0,4
7884,7874,1,1,1,1,0,4
7885,7874,1,1,1,1,0,4
7876,7875,1,1,1,1,0,4
7877,7875,1,1,1,1,0,4
7878,7875,1,1,1,1,3,7
7879,7875,1,1,1,1,0,4
7880,7875,1,1,1,1,3,7
7881,7875,1,1,1,1,0,4
7882,7875,1,1,1,1,3,7
7883,7875,1,1,1,1,3,7
7884,7875,1,1,1,1,3,7
7885,7875,1,1,1,1,3,7
7877,7876,1,1,1,1,0,4
7878,7876,1,1,1,1,0,4
7879,7876,1,1,1,1,0,4
7880,7876,1,1,1,1,0,4
7881,7876,1,1,1,1,0,4
7882,7876,1,1,1,1,0,4
7883,7876,1,1,1,1,0,4
7884,7876,1,1,1,1,0,4
7885,7876,1,1,1,1,0,4
7878,7877,1,1,1,1,0,4
7879,7877,1,1,1,1,0,4
7880,7877,1,1,1,1,0,4
7881,7877,1,1,1,1,0,4
7882,7877,1,1,1,1,0,4
7883,7877,1,1,1,1,0,4
7884,7877,1,1,1,1,0,4
7885,7877,1,1,1,1,0,4
7879,7878,1,1,1,1,0,4
7880,7878,1,1,1,1,3,7
7881,7878,1,1,1,1,0,4
7882,7878,1,1,1,1,3,7
7883,7878,1,1,1,1,3,7
7884,7878,1,1,1,1,3,7
7885,7878,1,1,1,1,3,7
7880,7879,1,1,1,1,0,4
7881,7879,1,1,1,1,3,7
7882,7879,1,1,1,1,0,4
7883,7879,1,1,1,1,0,4
7884,7879,1,1,1,1,0,4
7885,7879,1,1,1,1,0,4
7891,7879,1,1,0,1,3,6
7881,7880,1,1,1,1,0,4
7882,7880,1,1,1,1,3,7
7883,7880,1,1,1,1,3,7
7884,7880,1,1,1,1,3,7
7885,7880,1,1,1,1,3,7
7882,7881,1,1,1,1,0,4
7883,7881,1,1,1,1,0,4
7884,7881,1,1,1,1,0,4
7885,7881,1,1,1,1,0,4
7891,7881,1,1,0,1,3,6
7883,7882,1,1,1,1,3,7
7884,7882,1,1,1,1,3,7
7885,7882,1,1,1,1,3,7
7884,7883,1,1,1,1,3,7
7885,7883,1,1,1,1,3,7
7885,7884,1,1,1,1,3,7
7887,7886,1,1,1,1,3,7
7888,7886,1,1,1,1,3,7
7889,7886,1,1,1,1,3,7
7890,7886,1,1,1,1,3,7
7891,7886,1,1,1,1,0,4
7892,7886,1,1,1,1,3,7
7888,7887,1,1,1,1,3,7
7889,7887,1,1,1,1,3,7
7890,7887,1,1,1,1,3,7
7891,7887,1,1,1,1,0,4
7892,7887,1,1,1,1,3,7
7889,7888,1,1,1,1,3,7
7890,7888,1,1,1,1,3,7
7891,7888,1,1,1,1,0,4
7892,7888,1,1,1,1,3,7
7890,7889,1,1,1,1,3,7
7891,7889,1,1,1,1,0,4
7892,7889,1,1,1,1,3,7
7891,7890,1,1,1,1,0,4
7892,7890,1,1,1,1,3,7
7892,7891,1,1,1,1,0,4
7894,7893,1,1,1,1,3,7
7945,7895,0,1,1,0,3,5
7898,7897,1,1,1,1,0,4
8081,7897,1,1,1,1,3,7
8082,7897,1,1,1,1,0,4
8083,7897,1,1,0,1,3,6
8081,7898,1,1,1,1,0,4
8082,7898,1,1,1,1,3,7
7901,7900,1,1,1,1,0,4
7902,7900,1,1,1,1,0,4
7903,7900,1,1,1,1,0,4
7904,7900,1,1,1,1,0,4
7905,7900,1,1,1,1,0,4
7906,7900,1,1,1,1,0,4
7907,7900,1,1,1,1,0,4
7908,7900,1,1,1,1,0,4
7909,7900,1,1,1,1,0,4
7910,7900,1,1,1,1,0,4
7911,7900,1,1,1,1,0,4
7912,7900,1,1,1,1,3,7
7913,7900,1,1,1,1,0,4
7914,7900,1,1,1,1,3,7
7902,7901,1,1,1,1,0,4
7903,7901,1,1,1,1,0,4
7904,7901,1,1,1,1,3,7
7905,7901,1,1,1,1,3,7
7906,7901,1,1,1,1,3,7
7907,7901,1,1,1,1,0,4
7908,7901,1,1,1,1,0,4
7909,7901,1,1,1,1,0,4
7910,7901,1,1,1,1,0,4
7911,7901,1,1,1,1,0,4
7912,7901,1,1,1,1,0,4
7913,7901,1,1,1,1,0,4
7914,7901,1,1,1,1,0,4
7903,7902,1,1,1,1,0,4
7904,7902,1,1,1,1,0,4
7905,7902,1,1,1,1,0,4
7906,7902,1,1,1,1,0,4
7907,7902,1,1,1,1,0,4
7908,7902,1,1,1,1,0,4
7909,7902,1,1,1,1,0,4
7910,7902,1,1,1,1,0,4
7911,7902,1,1,1,1,0,4
7912,7902,1,1,1,1,0,4
7913,7902,1,1,1,1,3,7
7914,7902,1,1,1,1,0,4
7916,7902,1,0,1,1,3,6
7904,7903,1,1,1,1,0,4
7905,7903,1,1,1,1,0,4
7906,7903,1,1,1,1,0,4
7907,7903,1,1,1,1,3,7
7908,7903,1,1,1,1,3,7
7909,7903,1,1,1,1,3,7
7910,7903,1,1,1,1,3,7
7911,7903,1,1,1,1,0,4
7912,7903,1,1,1,1,0,4
7913,7903,1,1,1,1,0,4
7914,7903,1,1,1,1,0,4
7905,7904,1,1,1,1,3,7
7906,7904,1,1,1,1,3,7
7907,7904,1,1,1,1,0,4
7908,7904,1,1,1,1,0,4
7909,7904,1,1,1,1,0,4
7910,7904,1,1,1,1,0,4
7911,7904,1,1,1,1,0,4
7912,7904,1,1,1,1,0,4
7913,7904,1,1,1,1,0,4
7914,7904,1,1,1,1,0,4
7906,7905,1,1,1,1,3,7
7907,7905,1,1,1,1,0,4
7908,7905,1,1,1,1,0,4
7909,7905,1,1,1,1,0,4
7910,7905,1,1,1,1,0,4
7911,7905,1,1,1,1,0,4
7912,7905,1,1,1,1,0,4
7913,7905,1,1,1,1,0,4
7914,7905,1,1,1,1,0,4
7907,7906,1,1,1,1,0,4
7908,7906,1,1,1,1,0,4
7909,7906,1,1,1,1,0,4
7910,7906,1,1,1,1,0,4
7911,7906,1,1,1,1,0,4
7912,7906,1,1,1,1,0,4
7913,7906,1,1,1,1,0,4
7914,7906,1,1,1,1,0,4
7908,7907,1,1,1,1,3,7
7909,7907,1,1,1,1,3,7
7910,7907,1,1,1,1,3,7
7911,7907,1,1,1,1,0,4
7912,7907,1,1,1,1,0,4
7913,7907,1,1,1,1,0,4
7914,7907,1,1,1,1,0,4
7909,7908,1,1,1,1,3,7
7910,7908,1,1,1,1,3,7
7911,7908,1,1,1,1,0,4
7912,7908,1,1,1,1,0,4
7913,7908,1,1,1,1,0,4
7914,7908,1,1,1,1,0,4
7910,7909,1,1,1,1,3,7
7911,7909,1,1,1,1,0,4
7912,7909,1,1,1,1,0,4
7913,7909,1,1,1,1,0,4
7914,7909,1,1,1,1,0,4
7911,7910,1,1,1,1,0,4
7912,7910,1,1,1,1,0,4
7913,7910,1,1,1,1,0,4
7914,7910,1,1,1,1,0,4
7912,7911,1,1,1,1,0,4
7913,7911,1,1,1,1,0,4
7914,7911,1,1,1,1,0,4
7913,7912,1,1,1,1,0,4
7914,7912,1,1,1,1,3,7
7914,7913,1,1,1,1,0,4
7916,7913,1,0,1,1,3,6
7916,7915,1,1,1,1,0,4
7917,7915,1,1,1,1,0,4
7917,7916,1,1,1,1,0,4
7919,7918,1,1,1,1,0,4
7920,7918,1,1,1,1,0,4
7921,7918,1,1,1,1,0,4
7922,7918,1,1,1,1,0,4
7923,7918,1,1,1,1,0,4
7924,7918,1,1,1,1,0,4
7925,7918,1,1,1,1,0,4
7920,7919,1,1,1,1,3,7
7921,7919,1,1,1,1,3,7
7922,7919,1,1,1,1,3,7
7923,7919,1,1,1,1,3,7
7924,7919,1,1,1,1,0,4
7925,7919,1,1,1,1,0,4
7928,7919,0,0,1,1,3,5
7929,7919,0,0,1,1,3,5
7931,7919,0,0,1,1,3,5
7921,7920,1,1,1,1,3,7
7922,7920,1,1,1,1,3,7
7923,7920,1,1,1,1,3,7
7924,7920,1,1,1,1,0,4
7925,7920,1,1,1,1,0,4
7928,7920,0,0,1,1,3,5
7929,7920,0,0,1,1,3,5
7931,7920,0,0,1,1,3,5
7922,7921,1,1,1,1,3,7
7923,7921,1,1,1,1,3,7
7924,7921,1,1,1,1,0,4
7925,7921,1,1,1,1,0,4
7928,7921,0,0,1,1,3,5
7929,7921,0,0,1,1,3,5
7931,7921,0,0,1,1,3,5
7923,7922,1,1,1,1,3,7
7924,7922,1,1,1,1,0,4
7925,7922,1,1,1,1,0,4
7928,7922,0,0,1,1,3,5
7929,7922,0,0,1,1,3,5
7931,7922,0,0,1,1,3,5
7924,7923,1,1,1,1,0,4
7925,7923,1,1,1,1,0,4
7928,7923,0,0,1,1,3,5
7929,7923,0,0,1,1,3,5
7931,7923,0,0,1,1,3,5
7925,7924,1,1,1,1,3,7
8010,7924,1,1,1,0,3,6
8010,7925,1,1,1,0,3,6
7947,7926,0,0,1,1,3,5
7928,7927,1,1,1,1,0,4
7929,7927,1,1,1,1,0,4
7930,7927,1,1,1,1,3,7
