"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
13529,13528,1,1,1,1,3,7
13530,13528,1,1,1,1,3,7
13531,13528,1,1,1,1,3,7
13532,13528,1,1,1,1,3,7
13533,13528,1,1,1,1,3,7
13534,13528,1,1,1,1,3,7
13530,13529,1,1,1,1,3,7
13531,13529,1,1,1,1,3,7
13532,13529,1,1,1,1,3,7
13533,13529,1,1,1,1,3,7
13534,13529,1,1,1,1,3,7
13531,13530,1,1,1,1,3,7
13532,13530,1,1,1,1,3,7
13533,13530,1,1,1,1,3,7
13534,13530,1,1,1,1,3,7
13532,13531,1,1,1,1,3,7
13533,13531,1,1,1,1,3,7
13534,13531,1,1,1,1,3,7
13533,13532,1,1,1,1,3,7
13534,13532,1,1,1,1,3,7
13534,13533,1,1,1,1,3,7
13536,13535,1,1,1,1,3,7
13537,13535,1,1,1,1,3,7
13538,13535,1,1,1,1,3,7
13539,13535,1,1,1,1,3,7
13540,13535,1,1,1,1,3,7
13541,13535,1,1,1,1,3,7
13537,13536,1,1,1,1,3,7
13538,13536,1,1,1,1,3,7
13539,13536,1,1,1,1,3,7
13540,13536,1,1,1,1,3,7
13541,13536,1,1,1,1,3,7
13538,13537,1,1,1,1,3,7
13539,13537,1,1,1,1,3,7
13540,13537,1,1,1,1,3,7
13541,13537,1,1,1,1,3,7
13539,13538,1,1,1,1,3,7
13540,13538,1,1,1,1,3,7
13541,13538,1,1,1,1,3,7
13540,13539,1,1,1,1,3,7
13541,13539,1,1,1,1,3,7
13541,13540,1,1,1,1,3,7
13543,13542,1,1,1,1,0,4
13545,13544,1,1,1,1,3,7
13546,13544,1,1,1,1,3,7
13547,13544,1,1,1,1,3,7
13548,13544,1,1,1,1,3,7
13549,13544,1,1,1,1,3,7
13546,13545,1,1,1,1,3,7
13547,13545,1,1,1,1,3,7
13548,13545,1,1,1,1,3,7
13549,13545,1,1,1,1,3,7
13547,13546,1,1,1,1,3,7
13548,13546,1,1,1,1,3,7
13549,13546,1,1,1,1,3,7
13548,13547,1,1,1,1,3,7
13549,13547,1,1,1,1,3,7
