"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
102042,102027,0,1,0,0,3,4
102053,102051,0,1,0,0,3,4
102061,102057,0,1,1,0,3,5
102110,102075,0,1,0,0,3,4
102092,102083,0,1,0,0,3,4
102098,102083,0,1,0,0,3,4
102098,102092,0,1,0,0,3,4
102339,102126,0,1,0,0,3,4
102134,102133,0,1,1,1,3,6
102214,102150,0,1,0,0,3,4
102155,102154,0,1,1,1,3,6
102241,102196,0,1,0,0,3,4
102267,102196,0,1,0,0,3,4
102231,102230,0,1,1,0,3,5
102259,102240,0,1,0,0,3,4
102267,102241,0,1,0,0,3,4
102258,102256,0,1,1,1,3,6
102324,102261,0,1,0,0,3,4
102356,102261,0,1,0,0,3,4
102285,102284,0,1,1,1,3,6
102356,102324,0,1,0,0,3,4
102369,102368,0,1,1,1,3,6
102386,102385,0,1,1,1,3,6
102433,102432,0,1,1,1,3,6
102467,102465,0,1,0,0,3,4
102484,102468,0,1,0,0,3,4
102485,102468,0,1,0,0,3,4
102486,102468,0,1,0,0,3,4
102487,102468,0,1,0,0,3,4
102476,102471,0,1,0,0,3,4
102485,102484,0,1,0,0,3,4
102486,102484,0,1,0,0,3,4
102487,102484,0,1,0,0,3,4
102486,102485,0,1,0,0,3,4
102487,102485,0,1,0,0,3,4
102487,102486,0,1,0,0,3,4
102489,102488,0,1,1,1,3,6
102490,102488,0,1,1,0,3,5
102534,102528,0,1,0,0,3,4
102572,102566,0,1,1,0,3,5
102606,102605,0,1,1,1,3,6
102664,102613,0,1,0,0,3,4
102670,102613,0,1,0,0,3,4
102623,102614,0,1,0,0,3,4
102670,102664,0,1,0,0,3,4
102778,102771,0,1,0,0,3,4
102811,102810,0,1,1,1,3,6
102824,102816,0,1,0,0,3,4
102898,102893,0,1,0,0,3,4
