"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
3,1,1,1,1,1,3,7
154,1,1,1,1,1,3,7
234,1,1,1,1,1,3,7
235,1,1,1,1,1,3,7
277,1,1,1,1,1,3,7
278,1,1,1,1,1,3,7
316,1,1,1,1,1,3,7
317,1,1,1,1,1,3,7
319,1,1,1,1,1,3,7
41,2,1,1,1,1,3,7
141,2,1,1,1,1,3,7
153,2,1,1,1,1,3,7
318,2,1,1,1,1,3,7
154,3,1,1,1,1,3,7
234,3,1,1,1,1,3,7
235,3,1,1,1,1,3,7
277,3,1,1,1,1,3,7
278,3,1,1,1,1,3,7
316,3,1,1,1,1,3,7
317,3,1,1,1,1,3,7
319,3,1,1,1,1,3,7
44,5,0,1,1,1,3,6
245,5,0,1,1,1,3,6
246,5,0,1,1,1,3,6
146,6,0,1,1,1,3,6
247,6,0,1,1,1,3,6
323,6,0,1,1,0,3,5
325,6,1,1,1,1,3,7
326,6,0,1,1,1,3,6
364,6,1,1,1,1,0,4
580,8,0,0,0,1,3,4
832,8,0,1,1,1,3,6
161,10,1,1,1,1,0,4
285,10,1,1,1,1,0,4
816,10,1,1,1,1,0,4
848,10,1,1,1,1,0,4
286,16,1,1,1,0,3,6
548,16,1,1,0,0,3,5
850,16,0,1,1,0,3,5
889,16,1,1,1,1,3,7
910,16,1,1,1,0,3,6
911,16,0,1,1,0,3,5
311,20,0,1,1,1,3,6
68,22,0,1,1,1,3,6
869,22,0,1,1,1,3,6
884,22,1,1,1,1,0,4
34,24,0,0,1,0,3,4
189,26,0,1,1,1,3,6
255,26,0,1,1,1,3,6
561,26,0,1,1,1,3,6
566,26,0,1,1,1,3,6
915,26,0,1,1,1,3,6
919,26,0,1,1,1,3,6
962,26,0,1,1,1,3,6
967,26,0,1,1,1,3,6
63,28,1,1,1,0,3,6
554,28,0,1,1,0,3,5
30,29,1,1,1,1,3,7
178,29,0,1,1,1,3,6
304,29,0,1,1,1,3,6
912,29,0,1,1,1,3,6
178,30,0,1,1,1,3,6
304,30,0,1,1,1,3,6
912,30,0,1,1,1,3,6
305,32,1,1,1,1,0,4
837,32,1,1,1,1,3,7
891,32,1,1,1,1,0,4
54,33,0,1,1,1,3,6
183,33,0,1,0,0,3,4
184,33,0,1,0,1,3,5
308,33,0,1,1,0,3,5
546,33,0,1,0,0,3,4
556,33,1,1,1,1,3,7
856,33,0,0,1,0,3,4
328,34,0,0,0,1,3,4
539,36,0,1,1,0,3,5
858,36,1,0,1,0,3,5
74,38,0,1,1,1,3,6
313,38,1,1,0,1,3,6
314,38,0,1,0,1,3,5
315,38,0,1,1,0,3,5
74,39,1,1,1,1,0,4
111,40,1,0,0,0,3,4
124,40,1,0,0,0,3,4
137,40,1,0,0,0,3,4
204,40,1,0,0,0,3,4
217,40,1,0,0,0,3,4
220,40,1,0,0,0,3,4
263,40,1,0,0,0,3,4
353,40,1,0,0,0,3,4
594,40,1,0,0,0,3,4
872,40,1,0,0,0,3,4
141,41,1,1,1,1,3,7
153,41,1,1,1,1,3,7
318,41,1,1,1,1,3,7
155,42,1,1,1,1,0,4
170,42,1,1,1,1,0,4
267,42,1,1,1,1,0,4
245,44,0,1,1,1,3,6
246,44,0,1,1,1,3,6
322,44,1,1,1,1,0,4
282,45,0,1,1,1,3,6
397,45,1,1,1,1,0,4
242,46,0,1,1,1,3,6
250,46,0,1,1,1,3,6
817,49,1,1,1,1,0,4
215,50,0,1,1,1,3,6
216,50,0,1,1,1,3,6
407,50,0,1,1,1,3,6
861,50,1,1,1,1,3,7
863,50,0,1,1,1,3,6
59,54,0,1,1,1,3,6
556,54,0,1,1,1,3,6
856,54,0,0,1,0,3,4
307,55,0,1,1,1,3,6
57,56,0,1,1,1,3,6
171,56,0,1,1,1,3,6
171,57,0,1,1,1,3,6
61,58,0,1,0,1,3,5
851,58,0,1,0,1,3,5
556,59,0,1,1,1,3,6
229,61,0,1,1,1,3,6
286,61,1,1,1,1,0,4
851,61,1,1,1,1,3,7
910,61,1,1,1,1,0,4
67,62,0,1,1,0,3,5
301,62,0,1,1,0,3,5
549,62,0,1,1,0,3,5
554,63,0,1,1,1,3,6
301,67,0,1,1,1,3,6
549,67,0,1,1,1,3,6
869,68,0,1,1,1,3,6
884,68,1,1,1,1,0,4
840,69,1,1,1,1,0,4
73,72,1,1,1,1,3,7
842,72,1,1,1,1,0,4
844,72,0,1,1,1,3,6
842,73,1,1,1,1,0,4
844,73,0,1,1,1,3,6
314,74,1,1,0,1,3,6
315,74,1,1,1,0,3,6
321,75,0,1,1,1,3,6
871,76,1,1,1,1,0,4
79,78,0,1,1,0,3,5
165,80,0,1,1,1,3,6
