"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
6,1425,1,1,1,1,0,4
12,1112,0,1,0,0,3,4
13,1053,1,1,1,1,0,4
13,1112,1,1,1,1,0,4
26,1249,1,1,1,1,3,7
33,1291,0,1,0,1,3,5
34,1284,0,0,0,1,3,4
38,1116,0,0,0,1,3,4
38,1944,0,0,0,1,3,4
40,1001,1,0,0,0,3,4
40,1040,1,0,0,0,3,4
40,1060,1,0,0,0,3,4
40,1062,1,0,0,0,3,4
40,1108,1,0,0,0,3,4
40,1247,1,0,0,0,3,4
40,1294,1,0,0,0,3,4
40,1326,1,0,0,0,3,4
50,1348,0,1,1,1,3,6
53,1050,1,1,1,1,3,7
53,1051,0,1,1,1,3,6
58,1295,0,1,0,1,3,5
74,1116,0,0,0,1,3,4
74,1944,0,0,0,1,3,4
80,1016,1,1,1,1,3,7
80,1039,1,1,1,1,0,4
80,1332,1,1,1,1,3,7
80,1358,1,1,1,1,0,4
93,1340,0,1,1,1,3,6
97,1342,0,1,1,0,3,5
98,1346,0,1,0,1,3,5
99,1055,1,1,1,1,0,4
101,1351,1,1,1,0,3,6
101,1352,0,1,1,0,3,5
102,1361,0,1,1,1,3,6
103,1059,1,1,1,1,0,4
106,1018,0,1,1,1,3,6
106,1019,0,1,1,1,3,6
106,1063,0,1,1,1,3,6
106,1364,0,1,1,1,3,6
107,1262,0,1,1,1,3,6
107,1263,1,1,1,1,0,4
107,1264,1,1,1,1,3,7
107,1293,1,1,1,1,3,7
108,1018,0,1,1,1,3,6
108,1019,0,1,1,1,3,6
108,1063,0,1,1,1,3,6
108,1364,0,1,1,1,3,6
111,1001,1,0,0,0,3,4
111,1040,1,0,0,0,3,4
111,1060,1,0,0,0,3,4
111,1062,1,0,0,0,3,4
111,1108,1,0,0,0,3,4
111,1247,1,0,0,0,3,4
111,1294,1,0,0,0,3,4
111,1326,1,0,0,0,3,4
112,1026,0,1,1,1,3,6
112,1070,0,1,1,0,3,5
113,1070,0,1,1,0,3,5
114,1288,0,0,1,0,3,4
114,1370,0,1,1,1,3,6
120,1032,0,1,0,0,3,4
121,1386,1,1,1,1,0,4
122,1387,0,1,1,0,3,5
124,1001,1,0,0,0,3,4
124,1040,1,0,0,0,3,4
124,1060,1,0,0,0,3,4
124,1062,1,0,0,0,3,4
124,1108,1,0,0,0,3,4
124,1247,1,0,0,0,3,4
124,1294,1,0,0,0,3,4
124,1326,1,0,0,0,3,4
125,1295,1,1,1,1,0,4
126,1231,0,1,0,1,3,5
127,1035,0,1,1,0,3,5
127,1036,0,1,1,0,3,5
127,1232,1,1,1,1,3,7
127,1393,0,1,1,1,3,6
132,1408,0,1,1,1,3,6
132,1409,0,1,1,1,3,6
133,1018,1,1,1,1,3,7
