"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
104007,104006,0,1,1,1,3,6
104012,104011,0,1,1,1,3,6
104051,104031,0,1,0,0,3,4
104192,104039,0,1,0,0,3,4
104149,104053,0,1,0,0,3,4
104215,104053,0,1,0,0,3,4
104275,104055,0,1,0,0,3,4
104294,104055,0,1,0,0,3,4
104074,104073,0,1,1,1,3,6
104079,104076,0,1,1,0,3,5
104266,104077,0,1,0,0,3,4
104094,104093,0,1,1,1,3,6
104128,104096,0,1,0,0,3,4
104141,104098,0,1,0,0,3,4
104111,104110,0,1,1,1,3,6
104126,104124,0,1,1,1,3,6
104156,104132,0,1,0,0,3,4
104248,104132,0,1,0,0,3,4
104309,104132,0,1,0,0,3,4
104255,104137,0,1,0,0,3,4
104215,104149,0,1,0,0,3,4
104248,104156,0,1,0,0,3,4
104309,104156,0,1,0,0,3,4
104327,104160,0,1,0,0,3,4
104187,104185,0,1,1,1,3,6
104309,104248,0,1,0,0,3,4
104294,104275,0,1,0,0,3,4
104323,104314,0,1,0,0,3,4
104319,104318,0,1,1,1,3,6
104331,104330,0,1,1,1,3,6
104332,104330,0,1,1,1,3,6
104332,104331,0,1,1,1,3,6
104386,104344,0,1,0,0,3,4
104346,104345,0,1,1,1,3,6
104358,104357,0,1,1,1,3,6
104361,104360,0,1,1,1,3,6
104445,104435,0,1,0,0,3,4
104452,104451,0,1,1,1,3,6
104499,104478,0,1,0,0,3,4
104553,104503,0,1,0,0,3,4
104528,104504,0,1,0,0,3,4
104549,104509,0,1,0,0,3,4
104514,104511,0,1,0,0,3,4
104516,104511,0,1,0,0,3,4
104539,104511,0,1,0,0,3,4
104516,104514,0,1,0,0,3,4
104539,104514,0,1,0,0,3,4
104548,104515,0,1,0,0,3,4
104550,104515,0,1,0,0,3,4
104551,104515,0,1,0,0,3,4
104552,104515,0,1,0,0,3,4
104533,104516,0,1,0,0,3,4
104539,104516,0,1,0,0,3,4
104547,104519,0,1,0,0,3,4
104524,104522,0,1,0,0,3,4
104532,104522,0,1,0,0,3,4
104535,104522,0,1,0,0,3,4
104535,104524,0,1,0,0,3,4
104530,104528,0,1,0,0,3,4
104545,104530,0,1,0,0,3,4
104553,104532,0,1,0,0,3,4
104539,104533,0,1,0,0,3,4
104544,104533,0,1,0,0,3,4
104547,104533,0,1,0,0,3,4
104546,104539,0,1,0,0,3,4
104549,104540,0,1,0,0,3,4
104550,104548,0,1,0,0,3,4
104552,104548,0,1,0,0,3,4
104551,104550,0,1,0,0,3,4
104552,104550,0,1,0,0,3,4
104552,104551,0,1,0,0,3,4
104559,104556,0,1,1,0,3,5
104597,104564,0,1,0,0,3,4
104597,104569,0,1,0,0,3,4
104582,104578,0,1,1,0,3,5
104581,104580,0,1,1,1,3,6
104621,104588,0,1,0,0,3,4
104607,104606,0,1,0,0,3,4
104621,104620,0,1,1,0,3,5
104681,104651,0,1,0,0,3,4
104717,104705,0,1,1,0,3,5
104767,104764,0,1,0,0,3,4
105075,104776,0,1,0,0,3,4
104790,104789,0,1,1,1,3,6
104900,104799,0,1,0,0,3,4
104811,104800,0,1,0,0,3,4
104830,104820,0,1,0,0,3,4
105045,104871,0,1,0,0,3,4
105050,104871,0,1,0,0,3,4
104888,104880,0,1,0,0,3,4
104954,104880,0,1,0,0,3,4
104954,104888,0,1,0,0,3,4
105118,104918,0,1,0,0,3,4
104981,104941,0,1,0,0,3,4
104964,104962,0,1,1,0,3,5
105044,105043,0,1,1,1,3,6
105050,105045,0,1,0,0,3,4
105093,105070,0,1,0,0,3,4
105090,105089,0,1,1,1,3,6
105094,105092,0,1,1,1,3,6
105147,105146,0,1,1,1,3,6
105173,105172,0,1,1,1,3,6
105202,105178,0,1,0,0,3,4
105301,105300,0,1,1,1,3,6
