"SR_NUM_1","SR_NUM_2","SITE_NAME_COMPARISON_SCORE","STATE_COMPARISON_SCORE","CITY_COMPARISON_SCORE","POSTAL_CODE_COMPARISON_SCORE","CONCAT_ADDRESS_COMPARISON_SCORE","NUM_OF_MATCHES_FOUND"
20512,20511,1,1,1,1,3,7
20513,20511,1,1,1,1,3,7
20513,20512,1,1,1,1,3,7
20517,20516,1,1,1,1,3,7
20519,20518,0,0,0,1,3,4
20521,20520,1,1,1,1,0,4
20522,20520,1,1,1,1,0,4
20523,20520,1,1,1,1,3,7
20524,20520,1,1,1,1,3,7
20522,20521,1,1,1,1,3,7
20523,20521,1,1,1,1,0,4
20524,20521,1,1,1,1,0,4
20523,20522,1,1,1,1,0,4
20524,20522,1,1,1,1,0,4
20524,20523,1,1,1,1,3,7
