SR_NUM,CONCAT_ADDRESS,SITE_NAME,STATE,CITY,POSTAL_CODE
13522,cukurova universitesi tıp fakultesi balcalı hastanesihematolojı anabilim dali,cukurova universitesi tip fakultesi balcali hastanesi,adana,adana,01130
13523,39 street yuregir,baskent university medical faculty adana practice and research center,adana,adana,01250
13524,balcalıcocuk sagligi ana bilim dali cocuk metabolizma,cukurova universitesi tip fakultesi balcali hastanesi,adana,balcai,01300
13525,balcali,cukurova universitesi,adana,adana,01330
13526,balcalihematology dept,cukurova universitesi tip fakultesi balcali hastanesi,adana,adana,01330
13527,ege üniversitesi hastanesi bornovamedical oncology department,ege university medical faculty,izmir,izmir,0232
13528,hacettepe street,ankara university medical faculty ibni sina hospital,ankara,ankara,06100
13529,hacettepe street,ankara university medical faculty ibni sina hospital,ankara,ankara,06100
13530,hacettepe street,ankara university medical faculty ibni sina hospital,ankara,ankara,06100
13531,hacettepe street,ankara university medical faculty ibni sina hospital,ankara,ankara,06100
13532,hacettepe street,ankara university medical faculty ibni sina hospital,ankara,ankara,06100
13533,hacettepe street,ankara university medical faculty ibni sina hospital,ankara,ankara,06100
13534,hacettepe street,ankara university medical faculty ibni sina hospital,ankara,ankara,06100
13535,beşevlerdahiliye ad gastroenteroloji bd,gazi universitesi tip fakultesi,ankara,ankara,06100
13536,beşevlerdahiliye ad gastroenteroloji bd,gazi universitesi tip fakultesi,ankara,ankara,06100
13537,beşevlerdahiliye ad gastroenteroloji bd,gazi universitesi tip fakultesi,ankara,ankara,06100
13538,beşevlerdahiliye ad gastroenteroloji bd,gazi universitesi tip fakultesi,ankara,ankara,06100
13539,beşevlerdahiliye ad gastroenteroloji bd,gazi universitesi tip fakultesi,ankara,ankara,06100
13540,beşevlerdahiliye ad gastroenteroloji bd,gazi universitesi tip fakultesi,ankara,ankara,06100
13541,beşevlerdahiliye ad gastroenteroloji bd,gazi universitesi tip fakultesi,ankara,ankara,06100
13542,sihhiye,hacettepe universitesi tip fakultesi hastanesi,ankara,ankara,06100
13543,sihhiyeic hastaliklari anabiim dali,hacettepe universitesi tip fakultesi hastanesi,ankara,ankara,06100
13544,ahmet adnan saygun main street sihhiyeic hastaliklari anabilim dali gastroenteroloji bilim dali,hacettepe university medical faculty,ankara,ankara,06100
13545,ahmet adnan saygun main street sihhiyeic hastaliklari anabilim dali gastroenteroloji bilim dali,hacettepe university medical faculty,ankara,ankara,06100
13546,ahmet adnan saygun main street sihhiyeic hastaliklari anabilim dali gastroenteroloji bilim dali,hacettepe university medical faculty,ankara,ankara,06100
13547,ahmet adnan saygun main street sihhiyeic hastaliklari anabilim dali gastroenteroloji bilim dali,hacettepe university medical faculty,ankara,ankara,06100
13548,ahmet adnan saygun main street sihhiyeic hastaliklari anabilim dali gastroenteroloji bilim dali,hacettepe university medical faculty,ankara,ankara,06100
13549,ahmet adnan saygun main street sihhiyeic hastaliklari anabilim dali gastroenteroloji bilim dali,hacettepe university medical faculty,ankara,ankara,06100
13550,hacettepe mahallesimedical oncology department,hacettepe university medical faculty,ankara,ankara,06230
13551,bahriye ucok main street,gazi universitesi tip fakultesi,ankara,ankara,06500
13552,besevleric hastaliklari anabilim dali hematoloji bilim dali,gazi university faculty of medicine,ankara,ankara,06500
13553,bahriye ucok main streethematology department,gazi university medical faculty gazi hospital,ankara,ankara,06500
13554,bahriye ucok main streethematoloji bilim dali,gazi university medical faculty gazi hospital,ankara,ankara,06500
13555,bahriye ucok main street,gazi university medical faculty gazi hospital,ankara,ankara,06500
13556,bahriye ucok main street,gazi university medical faculty gazi hospital,ankara,ankara,06500
13557,besevleric hastaliklari anabilim dali hematoloji bilim dali,gazi university medical faculty gazi hospital,ankara,ankara,06500
13558,besevler,gazi university medical faculty gazi hospital,ankara,ankara,06500
13559,dikimevicocuk sagligi ve hastaliklari abdneonatoloji bd,ankara university medica faculty hematology department clinical research area  ppds,ankara,ankara,06590
13560,cebeci kampusuhematoloji anabilim dali,ankara university medical faculty ppds,ankara,ankara,06590
13561,tip fakultesi main street,ankara university medical faculty ppds,ankara,ankara,06590
13562,tip fakultesi main street,ankara university medical faculty ppds,ankara,ankara,06590
13563,dumlupinar bulvari kampushematology dept,akdeniz university medical faculty,antalya,antalya,07059
13564,gorukle campusgastroenterology department,uludag university medical faculty,bursa,bursa,16059
13565,gorukle campusgastroenterology department,uludag university medical faculty,bursa,bursa,16059
13566,gorukle campusgastroenterology department,uludag university medical faculty,bursa,bursa,16059
13567,gorukle campusgastroenterology department,uludag university medical faculty,bursa,bursa,16059
13568,gorukle campusgastroenterology department,uludag university medical faculty,bursa,bursa,16059
13569,gorukle campusgastroenterology department,uludag university medical faculty,bursa,bursa,16059
13570,gorukle campusgastroenterology department,uludag university medical faculty,bursa,bursa,16059
13571,gorukle kampusuic hastaliklari anabilim dali gastroenteroloji bilim dali,uludag university medical faculty,bursa,bursa,16059
13572,gorukle kampusuic hastaliklari anabilim dali gastroenteroloji bilim dali,uludag university medical faculty,bursa,bursa,16059
13573,gorukle kampusuic hastaliklari anabilim dali gastroenteroloji bilim dali,uludag university medical faculty,bursa,bursa,16059
13574,gorukle kampusuic hastaliklari anabilim dali gastroenteroloji bilim dali,uludag university medical faculty,bursa,bursa,16059
13575,gorukle kampusuic hastaliklari anabilim dali gastroenteroloji bilim dali,uludag university medical faculty,bursa,bursa,16059
13576,gorukle kampusuic hastaliklari anabilim dali gastroenteroloji bilim dali,uludag university medical faculty,bursa,bursa,16059
13577,gorukle kampusuic hastaliklari anabilim dali gastroenteroloji bilim dali,uludag university medical faculty,bursa,bursa,16059
13578,gullapoglu yerleskesimedical oncology department,trakya university medical faculty,edirne,edirne,22020
13579,dadaloglu mah2591 sok no4a 01250 yüreir adanamedical oncology department,baskent university medical faculty adana practice and research center,adana,istanbul,2591
13580,sehitkamilic hastaliklari anabilim dali hematoloji bilim dali,gazi university faculty of medicine,gaziantep,gaziantep,27310
13581,sehitkamilic hastaliklari anabilim dali hematoloji bilim dali,gazi university faculty of medicine,gaziantep,gaziantep,27310
13582,universite bulvari sehitkamil,gaziantep university medical faculty sahinbey research and practice hospital,gaziantep,gaziantep,27310
13583,universite bulvari sehitkamil,gaziantep university medical faculty sahinbey research and practice hospital,gaziantep,gaziantep,27310
13584,universite bulvari sehitkamil,gaziantep university medical faculty sahinbey research and practice hospital,gaziantep,gaziantep,27310
13585,universite bulvari sehitkamil,gaziantep university medical faculty sahinbey research and practice hospital,gaziantep,gaziantep,27310
13586,universite bulvari sehitkamil,gaziantep university medical faculty sahinbey research and practice hospital,gaziantep,gaziantep,27310
13587,universite bulvari sehitkamil,gaziantep university medical faculty sahinbey research and practice hospital,gaziantep,gaziantep,27310
13588,universite bulvari sehitkamil,gaziantep university medical faculty sahinbey research and practice hospital,gaziantep,gaziantep,27310
13589,capa fatihic hastaliklari anabilim dali hematoloji bilim dali,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34093
13590,fatih capa,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34093
13591,fatih capa,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34093
13592,fatih capa,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34093
13593,fatih capa,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34093
13594,fatih capa,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34093
13595,fatih capa,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34093
13596,fatih capa,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34093
13597,fatih capa,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34093
13598,adnan adivar cad,haseki egitim ve arastirma hastanesi,istanbul,fatih,34096
13599,adnan adivar cad,haseki egitim ve arastirma hastanesi,istanbul,fatih,34096
13600,adnan adivar cad,haseki egitim ve arastirma hastanesi,istanbul,fatih,34096
13601,adnan adivar cad,haseki egitim ve arastirma hastanesi,istanbul,fatih,34096
13602,adnan adivar cad,haseki egitim ve arastirma hastanesi,istanbul,fatih,34096
13603,adnan adivar cad,haseki egitim ve arastirma hastanesi,istanbul,fatih,34096
13604,adnan adivar cad,haseki egitim ve arastirma hastanesi,istanbul,fatih,34096
13605,181 cerrahpasa street,istanbul university cerrahpasa medical faculty hospital,istanbul,istanbul,34098
13606,cerrahpasa mah fatihic hastaliklari anabilim dali tibbi onkoloji bolumu,istanbul university cerrahpasa medical faculty hospital,istanbul,istanbul,34098
13607,cerrahpasa mah fatihic hastaliklari anabilim dali tibbi onkoloji bolumu,istanbul university cerrahpasa medical faculty hospital,istanbul,istanbul,34098
13608,dikilitas mah hakki yeten cad yesilcimen sokno23 fulya besiktas,acibadem fulya hospital,istanbul,istanbul,34349
13609,dikilitas mah hakki yeten cad yesilcimen sokno23 fulya besiktas,acibadem fulya hospital,istanbul,istanbul,34349
13610,dikilitas mah hakki yeten cad yesilcimen sokno23 fulya besiktas,acibadem fulya hospital,istanbul,istanbul,34349
13611,dikilitas mah hakki yeten cad yesilcimen sokno23 fulya besiktas,acibadem fulya hospital,istanbul,istanbul,34349
13612,dikilitas mah hakki yeten cad yesilcimen sokno23 fulya besiktas,acibadem fulya hospital,istanbul,istanbul,34349
13613,dikilitas mah hakki yeten cad yesilcimen sokno23 fulya besiktas,acibadem fulya hospital,istanbul,istanbul,34349
13614,dikilitas mah hakki yeten cad yesilcimen sokno23 fulya besiktas,acibadem fulya hospital,istanbul,istanbul,34349
13615,tesvikiye cadgastroenteroloji bd,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34360
13616,tesvikiye cadgastroenteroloji bd,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34360
13617,tesvikiye cadgastroenteroloji bd,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34360
13618,tesvikiye cadgastroenteroloji bd,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34360
13619,tesvikiye cadgastroenteroloji bd,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34360
13620,tesvikiye cadgastroenteroloji bd,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34360
13621,tesvikiye cadgastroenteroloji bd,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34360
13622,beylikduzu caddesi no 3 beylikduzu,medicana international istanbul hospital,istanbul,istanbul,34520
13623,beylikduzu caddesi no 3 beylikduzu,medicana international istanbul hospital,istanbul,istanbul,34520
13624,beylikduzu caddesi no 3 beylikduzu,medicana international istanbul hospital,istanbul,istanbul,34520
13625,beylikduzu caddesi no 3 beylikduzu,medicana international istanbul hospital,istanbul,istanbul,34520
13626,beylikduzu caddesi no 3 beylikduzu,medicana international istanbul hospital,istanbul,istanbul,34520
13627,yurtcan sokagi no1 uskudargastroenterology,acibadem altunizade hospital,istanbul,istanbul,34662
13628,yurtcan sokagi no1 uskudargastroenterology,acibadem altunizade hospital,istanbul,istanbul,34662
13629,yurtcan sokagi no1 uskudargastroenterology,acibadem altunizade hospital,istanbul,istanbul,34662
13630,yurtcan sokagi no1 uskudargastroenterology,acibadem altunizade hospital,istanbul,istanbul,34662
13631,yurtcan sokagi no1 uskudargastroenterology,acibadem altunizade hospital,istanbul,istanbul,34662
13632,yurtcan sokagi no1 uskudargastroenterology,acibadem altunizade hospital,istanbul,istanbul,34662
13633,selimiye tibbiye cad no 40gastroenteroloji bilim dali,haydarpasa numune education and research hospital,istanbul,üsküdar,34668
13634,egitim mahallesi fahrettin kerim gokay caddesi no 1611merdivenkoy poliklinigi tibbi onkoloji bolumu,tc saglik bakanligi goztepe prof dr suleyman yalcin city hospital,istanbul,istanbul,34722
13635,inonu cad okur sok no20 kozyatagigastroenteroloji,acibadem kozyatagi hospital,istanbul,istanbul,34742
13636,inonu cad okur sok no20 kozyatagiic hastaliklari ana bilim dali gastroenteroloji bilim dali,acibadem kozyatagi hospital,istanbul,istanbul,34742
13637,inonu cad okur sok no20 kozyatagiic hastaliklari ana bilim dali gastroenteroloji bilim dali,acibadem kozyatagi hospital,istanbul,istanbul,34742
13638,inonu cad okur sok no20 kozyatagiic hastaliklari ana bilim dali gastroenteroloji bilim dali,acibadem kozyatagi hospital,istanbul,istanbul,34742
13639,inonu cad okur sok no20 kozyatagiic hastaliklari ana bilim dali gastroenteroloji bilim dali,acibadem kozyatagi hospital,istanbul,istanbul,34742
13640,inonu cad okur sok no20 kozyatagiic hastaliklari ana bilim dali gastroenteroloji bilim dali,acibadem kozyatagi hospital,istanbul,istanbul,34742
13641,fevzi cakmak mahallesi muhsin yazicioglu cd no10tibbi onkoloji bolumu,marmara university pendik training and research hospital,istanbul,istanbul,34899
13642,bornovaic hastaliklari anabilim dali hematoloji bilim dali,dokuz eylul university medical faculty,izmir,izmir,35040
13643,bornovaic hastaliklari anabilim dali hematoloji bilim dali,ege universitesi tip fakultesi hastanesi,izmir,izmir,35040
13644,bornovaic hastaliklari anabilim dali hematoloji bilim dali,ege universitesi tip fakultesi hastanesi,izmir,izmir,35040
13645,bornovaic hastaliklari anabilim dali hematoloji bilim dali,ege universitesi tip fakultesi hastanesi,izmir,izmir,35040
13646,bornovaic hastaliklari anabilim dali hematoloji bilim dali,ege universitesi tip fakultesi hastanesi,izmir,izmir,35040
13647,bornova,dokuz eylul university medical faculty,izmir,izmir,35100
