SR_NUM,CONCAT_ADDRESS,SITE_NAME,STATE,CITY,POSTAL_CODE
19059,1915 trent boulevard,new bern cancer care,north carolina,new bern,28560
19060,3100 wellons boulevard,southern gastroenterology associates,north carolina,new bern,28562
19061,3100 wellons boulevard,southern gastroenterology associates,north carolina,new bern,28562
19062,3100 wellons boulevard,southern gastroenterology associates,north carolina,new bern,28562
19063,3100 wellons boulevard,southern gastroenterology associates,north carolina,new bern,28562
19064,3100 wellons boulevard,southern gastroenterology associates,north carolina,new bern,28562
19065,3100 wellons boulevard,southern gastroenterology associates,north carolina,new bern,28562
19066,3100 wellons boulevard,southern gastroenterology associates,north carolina,new bern,28562
19067,137 medical lane,eastern carolina internal medicine pa,north carolina,pollocksville,28573
19068,137 medical lane,eastern carolina internal medicine pa,north carolina,pollocksville,28573
19069,36 14th avenue ne suite 103suite 250,research carolina elite llc,hickory,north carolina,28601
19070,36 14th avenue ne suite 103suite 250,research carolina elite llc,hickory,north carolina,28601
19071,225 18th street southeast,carolina oncology specialists pa,north carolina,hickory,28602
19072,2406 century place southeast,carolina oncology specialists pa,north carolina,hickory,28602
19073,2406 century place southeast,carolina oncology specialists pa,north carolina,hickory,28602
19074,1985 tate blvd se ste 600,neurology associates,north carolina,hickory,286021433
19075,870 state farm road,medispect llc,north carolina,boone,28607
19076,870 state farm road,medispect llc,north carolina,boone,28607
19077,208 old mocksville roadnorthlake digestive caresuite b,piedmont healthcare,north carolina,statesville,28625
19078,208 old mocksville roadnorthlake digestive caresuite b,piedmont healthcare,north carolina,statesville,28625
19079,208 old mocksville roadnorthlake digestive caresuite b,piedmont healthcare,north carolina,statesville,28625
19080,208 old mocksville roadnorthlake digestive caresuite b,piedmont healthcare,north carolina,statesville,28625
19081,208 old mocksville roadnorthlake digestive caresuite b,piedmont healthcare,north carolina,statesville,28625
19082,208 old mocksville roadnorthlake digestive caresuite b,piedmont healthcare,north carolina,statesville,28625
19083,208 old mocksville roadnorthlake digestive caresuite b,piedmont healthcare,north carolina,statesville,28625
19084,208 old mocksville road,statesville research institute,north carolina,statesville,28625
19085,208 old mocksville road,statesville research institute,north carolina,statesville,28625
19086,560 malcolm boulevard,burke research associates,north carolina,rutherford college,28671
19087,560 malcolm boulevard,burke research associates,north carolina,rutherford college,28671
19088,633 brookdale drive,piedmont healthcare,north carolina,statesville,28677
19089,633 brookdale drive,piedmont healthcare,north carolina,statesville,28677
19090,633 brookdale drive,piedmont healthcare,north carolina,statesville,28677
19091,633 brookdale drive,piedmont healthcare,north carolina,statesville,28677
19092,633 brookdale drivesuite 100,piedmont healthcare,north carolina,statesville,28677
19093,360 kingstown rd suite 202,gastrointestinal medicine associates,rhode island,wakefield,2879
19094,360 kingstown rd suite 202,gastrointestinal medicine associates,rhode island,wakefield,2879
19095,360 kingstown rd suite 202,gastrointestinal medicine associates,rhode island,wakefield,2879
19096,360 kingstown rd suite 202,gastrointestinal medicine associates,rhode island,wakefield,2879
19097,360 kingstown rd suite 202,gastrointestinal medicine associates,rhode island,wakefield,2879
19098,360 kingstown rd suite 202,gastrointestinal medicine associates,rhode island,wakefield,2879
19099,360 kingstown rd suite 202,gastrointestinal medicine associates,rhode island,wakefield,2879
19100,191 biltmore avenueresearch department,asheville gastroenterology associates pa,north carolina,asheville,28801
19101,191 biltmore avenue,asheville gastroenterology associates pa,north carolina,asheville,28801
19102,191 biltmore avenueresearch department,asheville gastroenterology associates pa,north carolina,asheville,28801
19103,191 biltmore avenue,asheville gastroenterology associates pa,north carolina,asheville,28801
19104,191 biltmore avenueresearch department,asheville gastroenterology associates pa,north carolina,asheville,28801
19105,191 biltmore avenueresearch department,asheville gastroenterology associates pa,north carolina,asheville,28801
19106,191 biltmore avenueresearch department,asheville gastroenterology associates pa,north carolina,asheville,28801
19107,191 biltmore avenueresearch department,asheville gastroenterology associates pa,north carolina,asheville,28801
19108,191 biltmore avenueresearch department,asheville gastroenterology associates pa,north carolina,asheville,28801
19109,191 biltmore avenueresearch department,asheville gastroenterology associates pa,north carolina,asheville,28801
19110,191 biltmore avenueresearch department,asheville gastroenterology associates pa,north carolina,asheville,28801
19111,191 biltmore avenue,asheville gastroenterology associates pa,asheville,north carolina,28801
19112,21 hospital drive,cancer care of wnc pa,north carolina,asheville,28801
19113,21 hospital drivesuite 100,cancer care of wnc pa,north carolina,asheville,28801
19114,21 hospital drivesuite 100,cancer care of wnc pa,north carolina,asheville,28801
19115,21 hospital drive,cancer care of wnc pa,north carolina,asheville,28801
19116,445 biltmore avenuesuite 100,cancer care of wnc pa,north carolina,asheville,28801
19117,509 biltmore avenue,mission hospitals,north carolina,asheville,28801
19118,21 hospital drive,secu cancer center,north carolina,asheville,28801
