SR_NUM,COUNTRY,POSTAL_CODE,SITE_NAME,STATE,CITY,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_LINE_3,COUNTY_NAME,PHONE_NUM,SITE_TYPE,SITE_OWNERSHIP,ACCOUNT_NUM
100002,United States of America,603,HOSP COMUNITARIO BUEN SAMARITANO,PR,AGUADILLA,CARR.2 KM.,.1.4 AVE. SEVERIANO ,SEVERIANO CUEVAS #18,AGUADILLA,(787) 658-0000,Acute Care Hospitals,Voluntary non-profit - Other,78564
100003,United States of America,613,HOSPITAL DR CAYETANO COLL Y TOSTE,PR,ARECIBO,CARRETERA , 129 KM.1 AVENIDA SA,AVENIDA SAN LUIS,ARECIBO,(787) 650-7272,Acute Care Hospitals,Proprietary,88452
100004,United States of America,614,HOSPITAL DR SUSONI INC,PR,ARECIBO,55 PALM ST,T,,ARECIBO,(787) 650-1031,Acute Care Hospitals,Voluntary non-profit - Private,37595
100005,United States of America,623,HOSPITAL PSIQUIATRICO METROPOLITANO CABO ROJO,PR,BO BALLAJA,108 MUNOZ , RIVERA STREET,REET,CABO ROJO,(787) 851-2025,Psychiatric,Proprietary,85970
100006,United States of America,631,HOSPITAL GENERAL DE CASTANER,PR,CASTANER,CARR 135 K,KM 64 2,,LARES,(787) 829-5010,Acute Care Hospitals,Voluntary non-profit - Private,17708
100007,United States of America,641,HOSPITAL METROPOLITANO DE LA MONTANA,PR,BDA NUEVA,CALLE ISAA,AC GONZALEZ ESQUINA ,Z ESQUINA LEDESMA,UTUADO,(787) 933-1100,Acute Care Hospitals,Proprietary,41427
100008,United States of America,674,"DOCTORS' CENTER HOSPITAL, INC",PR,MANATI,MARGINAL C,"CARRETERA NO 2, KM 4","NO 2, KM 47 7",MANATI,(787) 853-3322,Acute Care Hospitals,Proprietary,77422
100009,United States of America,674,MANATI MEDICAL CENTER DR OTERO LOPEZ,PR,MANATI,CALLE HERN,NANDEZ CARRION URB A,RION URB ATENAS,MANATI,(787) 621-3700,Acute Care Hospitals,Proprietary,64164
100010,United States of America,676,HOSPITAL SAN CARLOS BORROMEO,PR,MOCA,CALLE CONC,CEPCION VERA AYALA #,RA AYALA #550 S,MOCA,(787) 877-8000,Acute Care Hospitals,Voluntary non-profit - Private,12521
100011,United States of America,681,BELLA VISTA HOSPITAL,PR,MAYAGUEZ,CARR 349 K,KM 2 7 CERRO LAS MES,RO LAS MESAS,MAYAGUEZ,(787) 652-6045,Acute Care Hospitals,Voluntary non-profit - Church,36154
100012,United States of America,681,HOSPITAL PEREA,PR,MAYAGUEZ,15 DR BASO,ORA STREET,,MAYAGUEZ,(787) 834-0101,Acute Care Hospitals,Proprietary,62183
100013,United States of America,682,MAYAGUEZ MEDICAL CENTER DR RAMON EMETERIO BETANCES,PR,MAYAGUEZ,CARR 2 BO , SABALOS,,MAYAGUEZ,(787) 652-9200,Acute Care Hospitals,Proprietary,56489
100014,United States of America,683,HOSPITAL DE LA CONCEPCION,PR,SAN GERMAN,ROAD NUMBE,ER 2 KM 173.4 CAIN A,3.4 CAIN ALTO,SAN GERMAN,(787) 892-1860,Acute Care Hospitals,Voluntary non-profit - Church,65388
100015,United States of America,683,HOSPITAL METROPOLITANO SAN GERMAN,PR,SAN GERMAN,CALLE JAVI,ILLA  #8 AL COSTADO ,L COSTADO PARQUE DE BOMBAS,SAN GERMAN,(787) 892-5300,Acute Care Hospitals,Proprietary,51518
100016,United States of America,693,CENTRO MEDICO WILMA N VAZQUEZ,PR,VEGA BAJA,CARR. 2 KM,M 39.5    ROAD NUMBE,ROAD NUMBER 2 BO ALGARROBO,VEGA BAJA,(787) 858-1580,Acute Care Hospitals,Proprietary,56697
100017,United States of America,698,HOSPITAL METROPOLITANO DR TITO MATTEI,PR,YAUCO,ROAD 128 K,KM 1.0,,YAUCO,(787) 856-1000,Acute Care Hospitals,Proprietary,73281
100018,United States of America,705,CENTRO DE SALUD CONDUCTUAL MENONITA-CIMA,PR,AIBONITO,CARR ESTAT,TAL 14 INTERIOR SARG,ERIOR SARGENTO GERARDO SANTIAGO,AIBONITO,(787) 714-2462,Psychiatric,Voluntary non-profit - Private,36366
100019,United States of America,705,MENNONITE GENERAL HOSPITAL INC,PR,AIBONITO,CALLE JOSE,E C VASQUEZ BO. CAON,Z BO. CAONILLAS,AIBONITO,(787) 535-1001,Acute Care Hospitals,Voluntary non-profit - Private,63207
100020,United States of America,717,HOSPITAL DAMAS INC,PR,PONCE,PONCE BY P,PASS #2213,,PONCE,(787) 840-8460,Acute Care Hospitals,Voluntary non-profit - Private,41539
100021,United States of America,725,HIMA SAN PABLO-CAGUAS,PR,CAGUAS,AVE LUIS M,MUNOZ MARIN,N,CAGUAS,(787) 653-3434,Acute Care Hospitals,Proprietary,52772
100022,United States of America,725,HOSPITAL MENONITA CAGUAS INC,PR,CAGUAS,CARR 172  , EXIT 21 URB TURABO ,RB TURABO GARDENS,CAGUAS,(787) 744-3141,Acute Care Hospitals,Voluntary non-profit - Private,21958
100023,United States of America,733,HOSPITAL METROPOLITANO DR PILA,PR,PONCE,2435 LAS A,AMERICAS AVE,VE,PONCE,(787) 848-5600,Acute Care Hospitals,Voluntary non-profit - Private,93675
100024,United States of America,733,INSPIRA BEHAVIOR CARE CORP,PR,PONCE,CALLE GUAD,DALUPE 184 (ANTIGUO , (ANTIGUO HOSPITAL SAN LUCAS),PONCE,(787) 709-4130,Psychiatric,Proprietary,29934
100025,United States of America,733,SAN LUKE'S MEMORIAL HOSPITAL INC,PR,PONCE,TITO CASTR,RO AVE #917,7,PONCE,(787) 844-2080,Acute Care Hospitals,Voluntary non-profit - Church,92465
100026,United States of America,737,HOSPITAL MENONITA DE CAYEY,PR,CAYEY,BO. RINCON,N SECTOR LAS LOMAS  ,AS LOMAS  KM.3.1 CARR 14,CAYEY,(787) 535-1001,Acute Care Hospitals,Voluntary non-profit - Private,79667
100027,United States of America,738,CARIBBEAN MEDICAL CENTER,PR,FAJARDO,151 AVE OS,SVALDO MOLINA,INA,FAJARDO,(787) 801-0081,Acute Care Hospitals,Proprietary,81035
