SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY,,
1317,1316,1,1,1,1,3,7,Australia,,
1318,1316,1,0,1,1,3,6,Australia,,
1320,1319,0,0,1,1,3,5,Australia,,
1321,1320,1,1,1,1,3,7,Australia,,
1324,1322,1,1,1,1,3,7,Australia,,
1325,1322,1,1,1,1,3,7,Australia,,
1323,1322,1,1,1,1,0,4,Australia,,
1326,1322,1,1,1,1,0,4,Australia,,
1327,1322,1,1,1,1,0,4,Australia,,
1330,1329,1,1,1,1,3,7,Australia,,
1331,1329,1,1,1,1,3,7,Australia,,
1332,1329,1,1,1,1,3,7,Australia,,
1333,1329,1,1,1,1,3,7,Australia,,
1334,1329,1,1,1,1,3,7,Australia,,
1335,1329,1,1,1,1,3,7,Australia,,
1336,1329,1,1,1,1,0,4,Australia,,
1337,1329,1,1,1,1,0,4,Australia,,
1338,1329,1,1,1,1,0,4,Australia,,
1341,1340,0,0,0,1,3,4,Australia,,
1343,1342,1,1,1,1,3,7,Australia,,
1344,1342,1,1,1,1,3,7,Australia,,
1345,1342,1,1,1,1,3,7,Australia,,
1442,1342,0,1,0,0,3,4,Australia,,
1347,1346,1,1,1,1,3,7,Australia,,
1349,1348,1,1,1,1,0,4,Australia,,
1351,1350,1,1,1,1,3,7,Australia,,
1352,1350,1,1,1,1,3,7,Australia,,
1353,1350,1,1,1,1,3,7,Australia,,
1354,1350,1,1,1,1,3,7,Australia,,
1355,1350,1,1,1,1,0,4,Australia,,
1361,1350,1,1,1,1,0,4,Australia,,
1356,1355,1,1,1,1,3,7,Australia,,
1357,1355,1,1,1,1,3,7,Australia,,
1358,1355,1,1,1,1,3,7,Australia,,
1359,1355,1,1,1,1,3,7,Australia,,
1360,1355,1,1,1,1,3,7,Australia,,
1362,1355,1,1,1,1,3,7,Australia,,
1363,1355,1,1,1,1,3,7,Australia,,
1367,1366,1,1,1,1,3,7,Australia,,
1370,1369,1,1,1,1,0,4,Australia,,
1371,1370,1,1,1,1,3,7,Australia,,
1373,1372,1,1,1,1,0,4,Australia,,
1374,1372,1,1,1,1,0,4,Australia,,
1376,1375,1,1,1,1,0,4,Australia,,
1380,1379,1,1,1,1,3,7,Australia,,
1382,1381,1,1,1,1,0,4,Australia,,
1383,1381,1,1,1,1,0,4,Australia,,
1384,1382,1,1,1,1,3,7,Australia,,
1385,1382,1,1,1,1,3,7,Australia,,
1386,1382,1,1,1,1,3,7,Australia,,
